    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1602.398549   -1602.398536   -1602.398587      32.003010      31.558000       7.949204       0.008158      -0.023845
  100.000   -1602.398549   -1602.395488   -1602.409515      88.020828      88.023000      31.513204       1.920808      -6.881275
  200.000   -1602.398549   -1602.388666   -1602.425906     116.842362     116.844000      52.849204       6.201681     -17.166791
  300.000   -1602.398549   -1602.378960   -1602.446526     141.327802     141.328000      68.254204      12.292293     -30.106047
  400.000   -1602.398549   -1602.367096   -1602.470784     162.663142     162.663000      80.115204      19.737072     -45.328185
  500.000   -1602.398549   -1602.353580   -1602.498241     181.552448     181.552000      89.078204      28.218497     -62.557727
  600.000   -1602.398549   -1602.338830   -1602.528541     198.409249     198.409000      95.698204      37.474270     -81.571280
  700.000   -1602.398549   -1602.323171   -1602.561386     213.546135     213.546000     100.578204      47.300449    -102.181846
  800.000   -1602.398549   -1602.306839   -1602.596525     227.226077     227.226000     104.221204      57.548942    -124.231920
  900.000   -1602.398549   -1602.290000   -1602.633742     239.668380     239.668000     106.991204      68.115583    -147.585959
 1000.000   -1602.398549   -1602.272772   -1602.672856     251.056711     251.057000     109.139204      78.926325    -172.130386
 1100.000   -1602.398549   -1602.255239   -1602.713711     261.541604     261.541000     110.837204      89.928458    -197.767307
 1200.000   -1602.398549   -1602.237463   -1602.756173     271.246427     271.246000     112.202204     101.083076    -224.412636
 1300.000   -1602.398549   -1602.219491   -1602.800127     280.272997     280.273000     113.317204     112.360686    -251.994211
 1400.000   -1602.398549   -1602.201357   -1602.845470     288.705249     288.705000     114.239204     123.739952    -280.447397
 1500.000   -1602.398549   -1602.183088   -1602.892115     296.614355     296.614000     115.011204     135.203932    -309.717601
 1600.000   -1602.398549   -1602.164707   -1602.939983     304.058402     304.058000     115.663204     146.738193    -339.755249
 1700.000   -1602.398549   -1602.146229   -1602.989003     311.087713     311.087000     116.219204     158.333323    -370.515790
 1800.000   -1602.398549   -1602.127670   -1603.039113     317.744221     317.744000     116.697204     169.979281    -401.960316
 1900.000   -1602.398549   -1602.109039   -1603.090256     324.064989     324.065000     117.111204     181.670420    -434.053060
 2000.000   -1602.398549   -1602.090347   -1603.142383     330.081555     330.081000     117.472204     193.399837    -466.763273
