    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1764.304201   -1764.304189   -1764.304243      33.885540      33.982000       7.949204       0.007530      -0.026355
  100.000   -1764.304201   -1764.300613   -1764.316361      98.820275      98.816000      35.521204       2.251506      -7.630522
  200.000   -1764.304201   -1764.293106   -1764.334728     130.591106     130.591000      57.535204       6.962223     -19.155998
  300.000   -1764.304201   -1764.282588   -1764.357709     157.130596     157.129000      73.728204      13.562374     -33.576805
  400.000   -1764.304201   -1764.269801   -1764.384621     180.126746     180.126000      86.200204      21.586344     -50.464354
  500.000   -1764.304201   -1764.255278   -1764.414976     200.424184     200.424000      95.608204      30.699672     -69.512420
  600.000   -1764.304201   -1764.239461   -1764.448383     218.501074     218.501000     102.537204      40.624997     -90.475647
  700.000   -1764.304201   -1764.222695   -1764.484517     234.708462     234.709000     107.621204      51.145830    -113.150093
  800.000   -1764.304201   -1764.205230   -1764.523105     249.337177     249.338000     111.386204      62.105292    -137.364449
  900.000   -1764.304201   -1764.187243   -1764.563915     262.628274     262.628000     114.217204      73.392315    -162.973132
 1000.000   -1764.304201   -1764.168861   -1764.606750     274.779726     274.779000     116.381204      84.927203    -189.852523
 1100.000   -1764.304201   -1764.150175   -1764.651441     285.954025     285.954000     118.064204      96.652855    -217.896572
 1200.000   -1764.304201   -1764.131251   -1764.697844     296.285645     296.286000     119.394204     108.527854    -247.014919
 1300.000   -1764.304201   -1764.112136   -1764.745834     305.886025     305.886000     120.459204     120.522708    -277.129124
 1400.000   -1764.304201   -1764.092868   -1764.795302     314.845971     314.846000     121.325204     132.613571    -308.170789
 1500.000   -1764.304201   -1764.073475   -1764.846152     323.241696     323.241000     122.036204     144.782872    -340.079672
 1600.000   -1764.304201   -1764.053979   -1764.898299     331.137027     331.137000     122.628204     157.016807    -372.802436
 1700.000   -1764.304201   -1764.034396   -1764.951669     338.587047     338.586000     123.124204     169.305336    -406.292645
 1800.000   -1764.304201   -1764.014741   -1765.006192     345.636343     345.636000     123.545204     181.639045    -440.506372
 1900.000   -1764.304201   -1763.995023   -1765.061811     352.326388     352.326000     123.904204     194.012287    -475.407851
 2000.000   -1764.304201   -1763.975253   -1765.118469     358.689736     358.689000     124.213204     206.418159    -510.961313
