    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -951.011656    -951.011643    -951.011686      26.982930      27.033000       7.949204       0.008158      -0.018825
  100.000    -951.011656    -951.009353    -951.021344      75.244724      75.246000      21.098204       1.445156      -6.079317
  200.000    -951.011656    -951.005085    -951.034847      93.379763      93.380000      31.871204       4.123368     -14.552584
  300.000    -951.011656    -950.999336    -951.050920     107.898253     107.897000      39.951204       7.730923     -24.638553
  400.000    -951.011656    -950.992442    -951.069125     120.298373     120.298000      46.302204      12.056977     -36.062372
  500.000    -951.011656    -950.984660    -951.089180     131.174690     131.176000      51.137204      16.940260     -48.647085
  600.000    -951.011656    -950.976211    -951.110869     140.832069     140.832000      54.718204      22.242092     -62.257150
  700.000    -951.011656    -950.967270    -951.134013     149.475571     149.475000      57.354204      27.852659     -76.780241
  800.000    -951.011656    -950.957967    -951.158464     157.267341     157.268000      59.311204      33.690384     -92.123488
  900.000    -951.011656    -950.948392    -951.184099     164.342777     164.343000      60.786204      39.698793    -108.209707
 1000.000    -951.011656    -950.938611    -951.210811     170.808222     170.808000      61.914204      45.836468    -124.971754
 1100.000    -951.011656    -950.928672    -951.238511     176.751883     176.752000      62.793204      52.073290    -142.353781
 1200.000    -951.011656    -950.918608    -951.267122     182.246683     182.247000      63.487204      58.388550    -160.307470
 1300.000    -951.011656    -950.908444    -951.296577     187.351799     187.351000      64.044204      64.766562    -178.790777
 1400.000    -951.011656    -950.898201    -951.326817     192.114876     192.115000      64.497204      71.194147    -197.766679
 1500.000    -951.011656    -950.887892    -951.357791     196.577548     196.578000      64.869204      77.663148    -217.203174
 1600.000    -951.011656    -950.877529    -951.389456     200.774570     200.774000      65.179204      84.166034    -237.073278
 1700.000    -951.011656    -950.867121    -951.421770     204.733996     204.734000      65.439204      90.697158    -257.350636
 1800.000    -951.011656    -950.856674    -951.454697     208.480785     208.481000      65.659204      97.252755    -278.012658
 1900.000    -951.011656    -950.846196    -951.488207     212.035959     212.036000      65.847204     103.827805    -299.040518
 2000.000    -951.011656    -950.835689    -951.522268     215.417594     215.418000      66.009204     110.421052    -320.414136
