    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -237.701636    -237.701623    -237.701644      13.177710      13.164000       7.949204       0.008158      -0.005020
  100.000    -237.701636    -237.700369    -237.708300      49.767818      49.771000       7.959204       0.795055      -4.181727
  200.000    -237.701636    -237.699076    -237.716726      55.377758      55.376000       8.372204       1.606426      -9.469126
  300.000    -237.701636    -237.697674    -237.725848      58.931556      58.933000       9.276204       2.486195     -15.193272
  400.000    -237.701636    -237.696117    -237.735470      61.736003      61.736000      10.243204       3.463228     -21.231173
  500.000    -237.701636    -237.694418    -237.745502      64.111442      64.112000      11.051204       4.529367     -27.526354
  600.000    -237.701636    -237.692605    -237.755888      66.184526      66.184000      11.668204       5.667043     -34.043673
  700.000    -237.701636    -237.690707    -237.766584      68.019395      68.019000      12.128204       6.858057     -40.755519
  800.000    -237.701636    -237.688746    -237.777557      69.662238      69.662000      12.470204       8.088604     -47.641187
  900.000    -237.701636    -237.686737    -237.788778      71.146387      71.147000      12.728204       9.349271     -54.682476
 1000.000    -237.701636    -237.684692    -237.800226      72.498740      72.498000      12.925204      10.632529     -61.866211
 1100.000    -237.701636    -237.682620    -237.811879      73.737559      73.738000      13.079204      11.932730     -69.178585
 1200.000    -237.701636    -237.680526    -237.823722      74.880768      74.881000      13.200204      13.246736     -76.610186
 1300.000    -237.701636    -237.678414    -237.835741      75.941743      75.942000      13.297204      14.572037     -84.152229
 1400.000    -237.701636    -237.676288    -237.847923      76.930485      76.930000      13.376204      15.906123     -91.796555
 1500.000    -237.701636    -237.674151    -237.860257      77.855584      77.855000      13.441204      17.247112     -99.536264
 1600.000    -237.701636    -237.672005    -237.872734      78.724659      78.725000      13.495204      18.593749    -107.365706
 1700.000    -237.701636    -237.669851    -237.885345      79.543906      79.544000      13.540204      19.945405    -115.279235
 1800.000    -237.701636    -237.667690    -237.898084      80.319188      80.319000      13.579204      21.301454    -123.273084
 1900.000    -237.701636    -237.665523    -237.910942      81.054146      81.054000      13.612204      22.661269    -131.341608
 2000.000    -237.701636    -237.663351    -237.923915      81.753258      81.753000      13.640204      24.024220    -139.482295
