    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -238.308455    -238.308442    -238.308466      15.060240      15.127000       7.949204       0.008158      -0.006903
  100.000    -238.308455    -238.307187    -238.315432      51.738199      51.739000       7.993204       0.795683      -4.378137
  200.000    -238.308455    -238.305867    -238.324178      57.451678      57.453000       8.711204       1.623996      -9.866340
  300.000    -238.308455    -238.304377    -238.333648      61.226151      61.225000      10.055204       2.558986     -15.808859
  400.000    -238.308455    -238.302653    -238.343658      64.327619      64.327000      11.575204       3.640813     -22.090235
  500.000    -238.308455    -238.300698    -238.354131      67.059484      67.059000      12.918204       4.867595     -28.662147
  600.000    -238.308455    -238.298550    -238.365016      69.513466      69.514000      14.000204       6.215487     -35.492593
  700.000    -238.308455    -238.296247    -238.376274      71.739633      71.739000      14.858204       7.660642     -42.557101
  800.000    -238.308455    -238.293823    -238.387871      73.770076      73.770000      15.547204       9.181726     -49.834334
  900.000    -238.308455    -238.291299    -238.399777      75.634478      75.635000      16.109204      10.765562     -57.305468
 1000.000    -238.308455    -238.288694    -238.411969      77.356295      77.357000      16.574204      12.400225     -64.956070
 1100.000    -238.308455    -238.286020    -238.424426      78.955590      78.955000      16.964204      14.078187     -72.772962
 1200.000    -238.308455    -238.283290    -238.437128      80.445736      80.446000      17.293204      15.791289     -80.743594
 1300.000    -238.308455    -238.280511    -238.450060      81.841302      81.841000      17.573204      17.535139     -88.858554
 1400.000    -238.308455    -238.277691    -238.463208      83.152695      83.153000      17.814204      19.304718     -97.109055
 1500.000    -238.308455    -238.274835    -238.476559      84.389218      84.389000      18.021204      21.096886    -105.486941
 1600.000    -238.308455    -238.271949    -238.490101      85.557851      85.558000      18.200204      22.907880    -113.984681
 1700.000    -238.308455    -238.269036    -238.503825      86.666144      86.666000      18.356204      24.735817    -122.596629
 1800.000    -238.308455    -238.266100    -238.517720      87.718926      87.719000      18.492204      26.578186    -131.315880
 1900.000    -238.308455    -238.263143    -238.531780      88.722318      88.722000      18.611204      28.433733    -140.138671
 2000.000    -238.308455    -238.260168    -238.545995      89.679650      89.680000      18.717204      30.300575    -149.058725
