    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -476.096449    -476.096436    -476.096472      22.590360      22.470000       7.949165       0.008158      -0.014433
  100.000    -476.096449    -476.094926    -476.104766      61.746984      61.746000      11.453165       0.955698      -5.219001
  200.000    -476.096449    -476.092750    -476.115391      71.037270      71.035000      15.803165       2.321159     -11.886294
  300.000    -476.096449    -476.089922    -476.127298      78.179379      78.179000      19.615165       4.095758     -19.358056
  400.000    -476.096449    -476.086523    -476.140254      84.291850      84.293000      22.956165       6.228664     -27.488076
  500.000    -476.096449    -476.082637    -476.154128      89.722635      89.722000      25.702165       8.667168     -36.194149
  600.000    -476.096449    -476.078363    -476.168822      94.606545      94.606000      27.853165      11.349146     -45.414781
  700.000    -476.096449    -476.073786    -476.184256      99.030042      99.031000      29.519165      14.221259     -55.099771
  800.000    -476.096449    -476.068974    -476.200364     103.060674     103.061000      30.819165      17.240837     -65.207702
  900.000    -476.096449    -476.063977    -476.217086     106.752698     106.752000      31.847165      20.376505     -75.700924
 1000.000    -476.096449    -476.058834    -476.234372     110.151850     110.152000      32.673165      23.603789     -86.548062
 1100.000    -476.096449    -476.053572    -476.252180     113.298642     113.299000      33.344165      26.905746     -97.722760
 1200.000    -476.096449    -476.048213    -476.270471     116.224265     116.224000      33.896165      30.268572    -109.200545
 1300.000    -476.096449    -476.042773    -476.289213     118.956588     118.956000      34.356165      33.682227    -120.961338
 1400.000    -476.096449    -476.037267    -476.308376     121.516863     121.517000      34.741165      37.137297    -132.986312
 1500.000    -476.096449    -476.031704    -476.327935     123.925277     123.925000      35.067165      40.628135    -145.259780
 1600.000    -476.096449    -476.026093    -476.347866     126.197360     126.197000      35.345165      44.149094    -157.766682
 1700.000    -476.096449    -476.020441    -476.368150     128.347573     128.348000      35.583165      47.695780    -170.495095
 1800.000    -476.096449    -476.014753    -476.388767     130.387514     130.387000      35.789165      51.265057    -183.432468
 1900.000    -476.096449    -476.009035    -476.409702     132.327657     132.327000      35.968165      54.853159    -196.569390
 2000.000    -476.096449    -476.003291    -476.430938     134.176384     134.176000      36.124165      58.457577    -209.895192
