    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -713.895381    -713.895368    -713.895409      25.727910      25.780000       7.949165       0.008158      -0.017570
  100.000    -713.895381    -713.893555    -713.904424      68.204062      68.205000      15.788165       1.145833      -5.674573
  200.000    -713.895381    -713.890333    -713.916429      81.877505      81.878000      24.339165       3.167670     -13.207830
  300.000    -713.895381    -713.885905    -713.930392      93.053458      93.054000      30.963165       5.946285     -21.969753
  400.000    -713.895381    -713.880539    -713.946007     102.704562     102.705000      36.162165       9.313503     -31.768321
  500.000    -713.895381    -713.874444    -713.963066     111.222382     111.223000      40.141165      13.138177     -42.473014
  600.000    -713.895381    -713.867798    -713.981407     118.817973     118.818000      43.118165      17.308608     -53.982175
  700.000    -713.895381    -713.860741    -714.000895     125.640052     125.640000      45.350165      21.736946     -66.211090
  800.000    -713.895381    -713.853372    -714.021416     131.811613     131.812000      47.050165      26.361068     -79.088223
  900.000    -713.895381    -713.845765    -714.042877     137.433057     137.433000      48.369165      31.134536     -92.555215
 1000.000    -713.895381    -713.837971    -714.065194     142.584705     142.585000      49.412165      36.025349    -106.559356
 1100.000    -713.895381    -713.830027    -714.088300     147.335355     147.335000      50.251165      41.010289    -121.058602
 1200.000    -713.895381    -713.821963    -714.112134     151.737670     151.738000      50.936165      46.070529    -136.014675
 1300.000    -713.895381    -713.813799    -714.136646     155.838247     155.838000      51.502165      51.193521    -151.396200
 1400.000    -713.895381    -713.805553    -714.161789     159.672609     159.673000      51.975165      56.367968    -167.173684
 1500.000    -713.895381    -713.797237    -714.187524     163.272664     163.272000      52.374165      61.586341    -183.322654
 1600.000    -713.895381    -713.788863    -714.213816     166.663911     166.664000      52.713165      66.841110    -199.821147
 1700.000    -713.895381    -713.780439    -714.240633     169.868433     169.868000      53.003165      72.127254    -216.649083
 1800.000    -713.895381    -713.771972    -714.267948     172.905500     172.905000      53.254165      77.440382    -233.789518
 1900.000    -713.895381    -713.763468    -714.295734     175.790651     175.790000      53.471165      82.776727    -251.225511
 2000.000    -713.895381    -713.754931    -714.323968     178.538204     178.538000      53.661165      88.133779    -268.942628
