    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -412.784085    -412.784073    -412.784105      20.080320      20.206000       7.949165       0.007530      -0.012550
  100.000    -412.784085    -412.782789    -412.791879      57.040659      57.037000       8.810165       0.813253      -4.890813
  200.000    -412.784085    -412.781133    -412.801566      64.109559      64.109000      12.110165       1.852410     -10.969502
  300.000    -412.784085    -412.778940    -412.812236      69.645243      69.645000      15.315165       3.228539     -17.665034
  400.000    -412.784085    -412.776287    -412.823723      74.416411      74.415000      17.857165       4.893323     -24.873241
  500.000    -412.784085    -412.773283    -412.835923      78.614453      78.614000      19.747165       6.778363     -32.528863
  600.000    -412.784085    -412.770021    -412.848754      82.342908      82.343000      21.117165       8.825301     -40.580444
  700.000    -412.784085    -412.766573    -412.862146      85.675733      85.676000      22.110165      10.988955     -48.984058
  800.000    -412.784085    -412.762988    -412.876043      88.678929      88.679000      22.838165      13.238578     -57.704565
  900.000    -412.784085    -412.759303    -412.890395      91.401712      91.402000      23.382165      15.550953     -66.710588
 1000.000    -412.784085    -412.755543    -412.905162      93.887419      93.888000      23.796165      17.910390     -75.977028
 1100.000    -412.784085    -412.751724    -412.920308      96.171042      96.171000      24.116165      20.306851     -85.481295
 1200.000    -412.784085    -412.747860    -412.935805      98.281139      98.281000      24.368165      22.731550     -95.205817
 1300.000    -412.784085    -412.743960    -412.951625     100.239895     100.240000      24.570165      25.178839    -105.133025
 1400.000    -412.784085    -412.740031    -412.967746     102.066743     102.067000      24.734165      27.644326    -115.249114
 1500.000    -412.784085    -412.736078    -412.984149     103.778022     103.778000      24.868165      30.124873    -125.542161
 1600.000    -412.784085    -412.732106    -413.000817     105.386775     105.387000      24.980165      32.617342    -136.001497
 1700.000    -412.784085    -412.728118    -413.017733     106.903711     106.904000      25.073165      35.119852    -146.616456
 1800.000    -412.784085    -412.724115    -413.034885     108.339601     108.339000      25.152165      37.631775    -157.379508
 1900.000    -412.784085    -412.720102    -413.052259     109.700968     109.701000      25.220165      40.149972    -168.281867
 2000.000    -412.784085    -412.716078    -413.069845     110.996165     110.996000      25.278165      42.675073    -179.317258
