    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -213.095208    -213.095195    -213.095217      13.805220      13.683000       7.949204       0.008158      -0.005648
  100.000    -213.095208    -213.093941    -213.101955      50.288651      50.290000       7.966204       0.795055      -4.233810
  200.000    -213.095208    -213.092643    -213.110465      55.917416      55.919000       8.438204       1.609563      -9.573920
  300.000    -213.095208    -213.091234    -213.119676      59.492131      59.492000       9.250204       2.493725     -15.353915
  400.000    -213.095208    -213.089698    -213.129385      62.259973      62.261000      10.014204       3.457580     -21.446409
  500.000    -213.095208    -213.088049    -213.139496      64.567014      64.567000      10.660204       4.492344     -27.791163
  600.000    -213.095208    -213.086306    -213.149947      66.558940      66.559000      11.196204       5.586094     -34.349270
  700.000    -213.095208    -213.084486    -213.160697      68.318807      68.319000      11.634204       6.728162     -41.095002
  800.000    -213.095208    -213.082602    -213.171712      69.896770      69.897000      11.991204       7.910391     -48.007025
  900.000    -213.095208    -213.080667    -213.182967      71.326970      71.327000      12.280204       9.124623     -55.069650
 1000.000    -213.095208    -213.078691    -213.194439      72.633027      72.633000      12.515204      10.364583     -62.268445
 1100.000    -213.095208    -213.076681    -213.206111      73.835108      73.835000      12.707204      11.625878     -69.592742
 1200.000    -213.095208    -213.074643    -213.217967      74.947703      74.948000      12.864204      12.904743     -77.032500
 1300.000    -213.095208    -213.072582    -213.229994      75.982772      75.983000      12.995204      14.198041     -84.579563
 1400.000    -213.095208    -213.070502    -213.242181      76.950207      76.950000      13.103204      15.503262     -92.227027
 1500.000    -213.095208    -213.068407    -213.254516      77.856839      77.857000      13.195204      16.817896     -99.967363
 1600.000    -213.095208    -213.066297    -213.266992      78.711325      78.711000      13.272204      18.141942    -107.796178
 1700.000    -213.095208    -213.064177    -213.279601      79.518067      79.518000      13.337204      19.472263    -115.708451
 1800.000    -213.095208    -213.062047    -213.292334      80.281886      80.282000      13.394204      20.808859    -123.698536
 1900.000    -213.095208    -213.059909    -213.305186      81.007248      81.007000      13.443204      22.150475    -131.763295
 2000.000    -213.095208    -213.057763    -213.318151      81.698037      81.698000      13.485204      23.497112    -139.898962
