    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000     -39.807367     -39.807354     -39.807357       1.882530       1.940000       7.949204       0.008158       0.006275
  100.000     -39.807367     -39.806099     -39.812243      38.554214      38.554000       8.004204       0.795683      -3.059739
  200.000     -39.807367     -39.804779     -39.818889      44.270830      44.271000       8.629204       1.623996      -7.230170
  300.000     -39.807367     -39.803346     -39.826249      47.906205      47.906000       9.347204       2.523218     -11.848644
  400.000     -39.807367     -39.801798     -39.834113      50.694964      50.695000      10.082204       3.494603     -16.783382
  500.000     -39.807367     -39.800133     -39.842382      53.023340      53.023000      10.806204       4.539407     -21.972263
  600.000     -39.807367     -39.798356     -39.850997      55.054590      55.055000      11.493204       5.654493     -27.378261
  700.000     -39.807367     -39.796472     -39.859918      56.875714      56.876000      12.148204       6.836721     -32.976278
  800.000     -39.807367     -39.794486     -39.869116      58.538839      58.539000      12.775204       8.082956     -38.748115
  900.000     -39.807367     -39.792402     -39.878569      60.078505      60.079000      13.373204       9.390687     -44.679967
 1000.000     -39.807367     -39.790225     -39.888259      61.517315      61.517000      13.937204      10.756776     -50.760539
 1100.000     -39.807367     -39.787962     -39.898172      62.870797      62.871000      14.460204      12.176832     -56.981046
 1200.000     -39.807367     -39.785619     -39.908294      64.149824      64.150000      14.941204      13.647087     -63.332702
 1300.000     -39.807367     -39.783202     -39.918614      65.363372      65.363000      15.378204      15.163779     -69.808605
 1400.000     -39.807367     -39.780719     -39.929123      66.517853      66.518000      15.773204      16.721886     -76.403108
 1500.000     -39.807367     -39.778177     -39.939812      67.618386      67.618000      16.128204      18.317017     -83.110562
 1600.000     -39.807367     -39.775581     -39.950672      68.669596      68.669000      16.446204      19.946033     -89.925321
 1700.000     -39.807367     -39.772937     -39.961696      69.675388      69.675000      16.731204      21.605169     -96.842991
 1800.000     -39.807367     -39.770250     -39.972876      70.638801      70.639000      16.986204      23.291289    -103.858553
 1900.000     -39.807367     -39.767525     -39.984207      71.563222      71.563000      17.215204      25.001253    -110.968868
 2000.000     -39.807367     -39.764765     -39.995683      72.451677      72.452000      17.420204      26.733181    -118.170173
