    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -113.305346    -113.305335    -113.305347       7.530120       7.557000       6.955204       0.006903      -0.000628
  100.000    -113.305346    -113.304237    -113.310546      39.589606      39.587000       6.955204       0.695909      -3.263052
  200.000    -113.305346    -113.303129    -113.317282      44.405745      44.408000       6.955204       1.391190      -7.489959
  300.000    -113.305346    -113.302020    -113.324599      47.228494      47.228000       6.960204       2.087098     -12.081450
  400.000    -113.305346    -113.300909    -113.332293      49.234435      49.234000       6.996204       2.784262     -16.909512
  500.000    -113.305346    -113.299788    -113.340268      50.803210      50.804000       7.086204       3.487701     -21.913904
  600.000    -113.305346    -113.298648    -113.348471      52.107385      52.107000       7.222204       4.203062     -27.061369
  700.000    -113.305346    -113.297484    -113.356866      53.232570      53.233000       7.383204       4.933484     -32.329315
  800.000    -113.305346    -113.296295    -113.365430      54.228630      54.229000       7.548204       5.679593     -37.703311
  900.000    -113.305346    -113.295079    -113.374145      55.127451      55.127000       7.704204       6.442645     -43.172060
 1000.000    -113.305346    -113.293840    -113.382997      55.946909      55.947000       7.845204       7.220130     -48.726779
 1100.000    -113.305346    -113.292580    -113.391973      56.700092      56.700000       7.970204       8.010793     -54.359309
 1200.000    -113.305346    -113.291301    -113.401065      57.398340      57.399000       8.078204       8.813378     -60.064630
 1300.000    -113.305346    -113.290006    -113.410265      58.049019      58.049000       8.173204       9.626003     -65.837722
 1400.000    -113.305346    -113.288696    -113.419564      58.657842      58.658000       8.254204      10.448041     -71.672937
 1500.000    -113.305346    -113.287375    -113.428958      59.229832      59.230000       8.325204      11.276982     -77.567766
 1600.000    -113.305346    -113.286044    -113.438440      59.768759      59.769000       8.386204      12.112198     -83.517816
 1700.000    -113.305346    -113.284703    -113.448006      60.278980      60.279000       8.439204      12.953689     -89.520577
 1800.000    -113.305346    -113.283354    -113.457651      60.762839      60.763000       8.485204      13.800200     -95.572911
 1900.000    -113.305346    -113.281999    -113.467371      61.222518      61.223000       8.526204      14.650476    -101.672308
 2000.000    -113.305346    -113.280637    -113.477163      61.661015      61.661000       8.562204      15.505145    -107.816886
