    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -550.753087    -550.753074    -550.753109      21.962850      21.962000       7.949165       0.008158      -0.013805
  100.000    -550.753087    -550.751697    -550.761192      59.582075      59.585000      10.619165       0.872239      -5.085969
  200.000    -550.753087    -550.749577    -550.771438      68.589981      68.590000      16.037165       2.202560     -11.515436
  300.000    -550.753087    -550.746617    -550.782977      76.054212      76.054000      20.944165       4.059990     -18.756274
  400.000    -550.753087    -550.742957    -550.795631      82.633654      82.634000      24.813165       6.356676     -26.696785
  500.000    -550.753087    -550.738759    -550.809276      88.500245      88.500000      27.730165       8.990963     -35.259159
  600.000    -550.753087    -550.734159    -550.823806      93.757315      93.757000      29.886165      11.877509     -44.376880
  700.000    -550.753087    -550.729264    -550.839130      98.488591      98.489000      31.478165      14.949171     -53.992843
  800.000    -550.753087    -550.724148    -550.855173     102.774372     102.774000      32.666165      18.159512     -64.059986
  900.000    -550.753087    -550.718868    -550.871866     106.675306     106.676000      33.564165      21.472765     -74.535010
 1000.000    -550.753087    -550.713462    -550.889155     110.249114     110.249000      34.255165      24.865084     -85.384031
 1100.000    -550.753087    -550.707958    -550.906990     113.540518     113.540000      34.794165      28.318899     -96.575672
 1200.000    -550.753087    -550.702378    -550.925329     116.586652     116.587000      35.221165      31.820405    -108.083577
 1300.000    -550.753087    -550.696737    -550.944137     119.419980     119.420000      35.565165      35.360189    -119.885785
 1400.000    -550.753087    -550.691046    -550.963381     122.066383     122.066000      35.845165      38.931348    -131.961588
 1500.000    -550.753087    -550.685315    -550.983033     124.547348     124.548000      36.076165      42.527608    -144.293414
 1600.000    -550.753087    -550.679550    -551.003069     126.882130     126.882000      36.268165      46.145203    -156.866205
 1700.000    -550.753087    -550.673757    -551.023466     129.085820     129.086000      36.429165      49.780368    -169.665526
 1800.000    -550.753087    -550.667940    -551.044205     131.172250     131.172000      36.566165      53.430594    -182.679456
 1900.000    -550.753087    -550.662104    -551.065268     133.152338     133.152000      36.683165      57.092742    -195.896699
 2000.000    -550.753087    -550.656249    -551.086638     135.036701     135.037000      36.784165      60.766813    -209.306588
