    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1655.523790   -1655.523777   -1655.523826      30.747990      30.432000       7.949204       0.008158      -0.022590
  100.000   -1655.523790   -1655.521015   -1655.534360      83.741210      83.741000      27.973204       1.741340      -6.632781
  200.000   -1655.523790   -1655.514946   -1655.549805     109.371855     109.373000      47.101204       5.549698     -16.324673
  300.000   -1655.523790   -1655.506299   -1655.569016     131.185149     131.185000      60.740204      10.975777     -28.379767
  400.000   -1655.523790   -1655.495758   -1655.591465     150.142749     150.143000      71.087204      17.590360     -42.466739
  500.000   -1655.523790   -1655.483778   -1655.616753     166.886284     166.886000      78.885204      25.107930     -58.335212
  600.000   -1655.523790   -1655.470722   -1655.644559     181.807426     181.806000      84.671204      33.300701     -75.783755
  700.000   -1655.523790   -1655.456870   -1655.674617     195.197743     195.198000      88.979204      41.992969     -94.645451
  800.000   -1655.523790   -1655.442418   -1655.706704     207.302635     207.302000      92.242204      51.061744    -114.780364
  900.000   -1655.523790   -1655.427509   -1655.740631     218.319096     218.319000      94.768204      60.417290    -136.069896
 1000.000   -1655.523790   -1655.412241   -1655.776238     228.411757     228.411000      96.767204      69.998113    -158.413644
 1100.000   -1655.523790   -1655.396688   -1655.813388     237.712197     237.712000      98.380204      79.757776    -181.725641
 1200.000   -1655.523790   -1655.380901   -1655.851965     246.331142     246.331000      99.703204      89.664276    -205.933094
 1300.000   -1655.523790   -1655.364922   -1655.891867     254.356352     254.356000     100.802204      99.691259    -230.971998
 1400.000   -1655.523790   -1655.348782   -1655.933006     261.861716     261.861000     101.728204     109.819270    -256.787132
 1500.000   -1655.523790   -1655.332507   -1655.975303     268.907279     268.907000     102.514204     120.031995    -283.328923
 1600.000   -1655.523790   -1655.316115   -1656.018690     275.545524     275.545000     103.187204     130.318139    -310.554699
 1700.000   -1655.523790   -1655.299624   -1656.063106     281.819170     281.819000     103.768204     140.666407    -338.426183
 1800.000   -1655.523790   -1655.283046   -1656.108494     287.764930     287.765000     104.272204     151.069267    -366.907607
 1900.000   -1655.523790   -1655.266394   -1656.154807     293.414759     293.414000     104.713204     161.518564    -395.969478
 2000.000   -1655.523790   -1655.249675   -1656.201997     298.795789     298.796000     105.099204     172.009904    -425.581675
