    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -2606.664014   -2606.664001   -2606.664058      35.768070      35.366000       7.949204       0.008158      -0.027610
  100.000   -2606.664014   -2606.659733   -2606.676757     106.827302     106.826000      46.002204       2.686370      -7.996360
  200.000   -2606.664014   -2606.649635   -2606.697264     149.438369     149.438000      78.682204       9.022966     -20.864707
  300.000   -2606.664014   -2606.635171   -2606.724058     185.924938     185.925000     101.717204      18.099271     -37.678210
  400.000   -2606.664014   -2606.617503   -2606.756273     217.698907     217.699000     119.228204      29.186118     -57.893445
  500.000   -2606.664014   -2606.597400   -2606.793248     245.793157     245.793000     132.419204      41.800951     -81.095627
  600.000   -2606.664014   -2606.575481   -2606.834451     270.843775     270.843000     142.171204      55.555343    -106.950922
  700.000   -2606.664014   -2606.552222   -2606.879435     293.327757     293.328000     149.385204      70.150598    -135.178832
  800.000   -2606.664014   -2606.527964   -2606.927825     313.645970     313.646000     154.798204      85.372736    -165.544041
  900.000   -2606.664014   -2606.502952   -2606.979303     332.127796     332.128000     158.940204     101.068016    -197.847000
 1000.000   -2606.664014   -2606.477355   -2607.033599     349.048672     349.048000     162.173204     117.130389    -231.918283
 1100.000   -2606.664014   -2606.451299   -2607.090481     364.630088     364.630000     164.744204     133.480790    -267.612307
 1200.000   -2606.664014   -2606.424874   -2607.149752     379.056828     379.057000     166.824204     150.062741    -304.805452
 1300.000   -2606.664014   -2606.398148   -2607.211241     392.479991     392.479000     168.530204     166.833574    -343.390415
 1400.000   -2606.664014   -2606.371175   -2607.274797     405.022744     405.022000     169.948204     183.759401    -383.272440
 1500.000   -2606.664014   -2606.343995   -2607.340288     416.789214     416.789000     171.138204     200.815123    -424.368698
 1600.000   -2606.664014   -2606.316639   -2607.407599     427.867693     427.867000     172.147204     217.981286    -466.607023
 1700.000   -2606.664014   -2606.289135   -2607.476626     438.330869     438.330000     173.010204     235.240321    -509.922156
 1800.000   -2606.664014   -2606.261504   -2607.547275     448.241200     448.241000     173.753204     252.579050    -554.255110
 1900.000   -2606.664014   -2606.233762   -2607.619463     457.653281     457.653000     174.398204     269.987433    -599.553802
 2000.000   -2606.664014   -2606.205924   -2607.693114     466.613298     466.613000     174.960204     287.456056    -645.770541
