    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1417.738344   -1417.738331   -1417.738377      28.865460      28.698000       7.949204       0.008158      -0.020708
  100.000   -1417.738344   -1417.735950   -1417.748330      77.685738      77.684000      23.363204       1.502259      -6.266315
  200.000   -1417.738344   -1417.730902   -1417.762458      99.008528      99.007000      39.129204       4.669929     -15.131776
  300.000   -1417.738344   -1417.723720   -1417.779716     117.126833     117.125000      50.446204       9.176706     -25.961344
  400.000   -1417.738344   -1417.714967   -1417.799663     132.868967     132.868000      59.020204      14.669301     -38.478286
  500.000   -1417.738344   -1417.705022   -1417.821966     146.767059     146.767000      65.481204      20.909888     -52.473641
  600.000   -1417.738344   -1417.694185   -1417.846360     159.152224     159.152000      70.281204      27.710214     -67.781120
  700.000   -1417.738344   -1417.682686   -1417.872624     170.268563     170.268000      73.867204      34.925952     -84.262043
  800.000   -1417.738344   -1417.670688   -1417.900571     180.317352     180.318000      76.596204      42.454817    -101.799065
  900.000   -1417.738344   -1417.658305   -1417.930047     189.467580     189.467000      78.720204      50.225273    -120.295550
 1000.000   -1417.738344   -1417.645621   -1417.960918     197.852020     197.852000      80.412204      58.184610    -139.667411
 1100.000   -1417.738344   -1417.632693   -1417.993071     205.582544     205.583000      81.786204      66.297059    -159.843740
 1200.000   -1417.738344   -1417.619566   -1418.026411     212.749422     212.749000      82.920204      74.534383    -180.764923
 1300.000   -1417.738344   -1417.606274   -1418.060853     219.425283     219.425000      83.869204      82.875246    -202.377623
 1400.000   -1417.738344   -1417.592843   -1418.096323     225.670525     225.670000      84.672204      91.303333    -224.635402
 1500.000   -1417.738344   -1417.579294   -1418.132758     231.536130     231.536000      85.357204      99.805466    -247.498729
 1600.000   -1417.738344   -1417.565643   -1418.170101     237.064650     237.064000      85.947204     108.371605    -270.931835
 1700.000   -1417.738344   -1417.551905   -1418.208300     242.290839     242.290000      86.457204     116.992337    -294.902090
 1800.000   -1417.738344   -1417.538091   -1418.247309     247.245215     247.245000      86.902204     125.660760    -319.380627
 1900.000   -1417.738344   -1417.524211   -1418.287089     251.954513     251.954000      87.292204     134.370599    -344.342975
 2000.000   -1417.738344   -1417.510272   -1418.327600     256.440747     256.441000      87.635204     143.117461    -369.764033
