    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1553.161379   -1553.161366   -1553.161417      32.003010      31.614000       7.949204       0.008158      -0.023845
  100.000   -1553.161379   -1553.158132   -1553.172725      91.572534      91.571000      31.753204       2.037525      -7.119728
  200.000   -1553.161379   -1553.151458   -1553.189647     119.819897     119.820000      51.278204       6.225527     -17.738453
  300.000   -1553.161379   -1553.142016   -1553.210684     143.632856     143.633000      66.606204      12.150476     -30.939381
  400.000   -1553.161379   -1553.130404   -1553.235271     164.512728     164.512000      78.606204      19.437122     -46.367969
  500.000   -1553.161379   -1553.117117   -1553.262995     183.079808     183.080000      87.719204      27.774848     -63.765056
  600.000   -1553.161379   -1553.102571   -1553.293519     199.702966     199.703000      94.492204      36.902608     -82.919171
  700.000   -1553.161379   -1553.087092   -1553.326556     214.665792     214.666000      99.521204      46.615835    -103.650219
  800.000   -1553.161379   -1553.070918   -1553.361862     228.212837     228.213000     103.301204      56.765182    -125.805087
  900.000   -1553.161379   -1553.054215   -1553.399228     240.554564     240.554000     106.191204      67.246482    -149.252626
 1000.000   -1553.161379   -1553.037106   -1553.438477     251.864316     251.864000     108.444204      77.982550    -173.881766
 1100.000   -1553.161379   -1553.019677   -1553.479455     262.286630     262.287000     110.231204      88.919422    -199.595871
 1200.000   -1553.161379   -1553.001991   -1553.522032     271.942440     271.942000     111.672204     100.017564    -226.313364
 1300.000   -1553.161379   -1552.984098   -1553.566094     280.929469     280.929000     112.850204     111.245600    -253.962710
 1400.000   -1553.161379   -1552.966034   -1553.611539     289.329173     289.329000     113.826204     122.580941    -282.479902
 1500.000   -1553.161379   -1552.947828   -1553.658281     297.210908     297.211000     114.643204     134.005388    -311.810974
 1600.000   -1553.161379   -1552.929502   -1553.706242     304.632573     304.632000     115.335204     145.505136    -341.906981
 1700.000   -1553.161379   -1552.911074   -1553.755352     311.642875     311.643000     115.924204     157.068891    -372.723997
 1800.000   -1553.161379   -1552.892559   -1553.805549     318.283531     318.283000     116.431204     168.687238    -404.223117
 1900.000   -1553.161379   -1552.873968   -1553.856777     324.590777     324.590000     116.870204     180.353277    -436.369199
 2000.000   -1553.161379   -1552.855313   -1553.908986     330.595172     330.595000     117.252204     192.059476    -469.130869
