    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1864.210549   -1864.210537   -1864.210589      32.630520      32.927000       7.949204       0.007530      -0.025100
  100.000   -1864.210549   -1864.207123   -1864.222111      94.051199      94.054000      35.381204       2.149849      -7.255271
  200.000   -1864.210549   -1864.199474   -1864.239750     126.367964     126.368000      59.238204       6.949673     -18.323920
  300.000   -1864.210549   -1864.188596   -1864.262129     153.808976     153.809000      76.483204      13.775727     -32.366966
  400.000   -1864.210549   -1864.175306   -1864.288585     177.709263     177.709000      89.722204      22.115335     -48.968370
  500.000   -1864.210549   -1864.160173   -1864.318623     198.857919     198.858000      99.703204      31.611444     -67.817516
  600.000   -1864.210549   -1864.143668   -1864.351844     217.720870     217.720000     107.052204      41.968496     -88.664025
  700.000   -1864.210549   -1864.126157   -1864.387912     234.648400     234.648000     112.441204      52.956824    -111.297056
  800.000   -1864.210549   -1864.107905   -1864.426544     249.936449     249.936000     116.431204      64.410136    -135.539022
  900.000   -1864.210549   -1864.089101   -1864.467498     263.831002     263.831000     119.429204      76.209834    -161.238067
 1000.000   -1864.210549   -1864.069878   -1864.510569     276.538009     276.538000     121.721204      88.272459    -188.265550
 1100.000   -1864.210549   -1864.050333   -1864.555582     288.226182     288.226000     123.502204     100.537142    -216.511658
 1200.000   -1864.210549   -1864.030535   -1864.602386     299.035184     299.035000     124.909204     112.960585    -245.881636
 1300.000   -1864.210549   -1864.010536   -1864.650850     309.079568     309.079000     126.036204     125.510158    -276.293281
 1400.000   -1864.210549   -1863.990376   -1864.700860     318.454153     318.454000     126.952204     138.160759    -307.675056
 1500.000   -1864.210549   -1863.970083   -1864.752316     327.239353     327.239000     127.705204     150.894820    -339.964210
 1600.000   -1864.210549   -1863.949680   -1864.805130     335.502143     335.502000     128.330204     163.697906    -373.105523
 1700.000   -1864.210549   -1863.929187   -1864.859223     343.298171     343.298000     128.855204     176.557469    -407.049422
 1800.000   -1864.210549   -1863.908616   -1864.914524     350.676294     350.676000     129.300204     189.465977    -441.751352
 1900.000   -1864.210549   -1863.887980   -1864.970970     357.677397     357.677000     129.679204     202.415273    -477.171782
 2000.000   -1864.210549   -1863.867287   -1865.028505     364.337954     364.338000     130.006204     215.400338    -513.275570
