    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1426.683413   -1426.683400   -1426.683449      30.747990      30.722000       7.949165       0.008158      -0.022590
  100.000   -1426.683413   -1426.680484   -1426.694379      87.192515      87.190000      28.566165       1.837977      -6.881275
  200.000   -1426.683413   -1426.674434   -1426.710383     112.791785     112.791000      46.412165       5.634412     -16.923945
  300.000   -1426.683413   -1426.665950   -1426.730108     134.199289     134.199000      59.455165      10.958207     -29.301579
  400.000   -1426.683413   -1426.655645   -1426.753003     152.732796     152.734000      69.436165      17.424698     -43.668421
  500.000   -1426.683413   -1426.643948   -1426.778671     169.080059     169.081000      76.997165      24.764682     -59.775348
  600.000   -1426.683413   -1426.631207   -1426.806798     183.641847     183.641000      82.618165      32.759787     -77.425321
  700.000   -1426.683413   -1426.617693   -1426.837122     196.705560     196.706000      86.786165      41.239957     -96.453935
  800.000   -1426.683413   -1426.603602   -1426.869425     208.508238     208.508000      89.902165      50.082201    -116.724390
  900.000   -1426.683413   -1426.589079   -1426.903521     219.239444     219.239000      92.263165      59.195528    -138.119971
 1000.000   -1426.683413   -1426.574225   -1426.939253     229.058720     229.058000      94.081165      68.516562    -160.542158
 1100.000   -1426.683413   -1426.559115   -1426.976485     238.094408     238.095000      95.502165      77.998238    -183.905611
 1200.000   -1426.683413   -1426.543802   -1427.015102     246.454553     246.454000      96.629165      87.607299    -208.138164
 1300.000   -1426.683413   -1426.528328   -1427.055004     254.226505     254.226000      97.537165      97.317388    -233.177068
 1400.000   -1426.683413   -1426.512724   -1427.096102     261.482521     261.482000      98.276165     107.109054    -258.966474
 1500.000   -1426.683413   -1426.497013   -1427.138320     268.284370     268.284000      98.885165     116.967864    -285.458692
 1600.000   -1426.683413   -1426.481213   -1427.181588     274.682698     274.683000      99.392165     126.882522    -312.609794
 1700.000   -1426.683413   -1426.465339   -1427.225847     280.721397     280.721000      99.819165     136.843616    -340.382759
 1800.000   -1426.683413   -1426.449402   -1427.271043     286.437747     286.437000     100.181165     146.844243    -368.743701
 1900.000   -1426.683413   -1426.433412   -1427.317125     291.862497     291.863000     100.491165     156.878128    -397.660617
 2000.000   -1426.683413   -1426.417376   -1427.364051     297.024015     297.024000     100.758165     166.940878    -427.107151
