    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -2101.995757   -2101.995744   -2101.995798      33.885540      34.099000       7.949204       0.008158      -0.025728
  100.000   -2101.995757   -2101.991994   -2102.007780      99.058729      99.060000      39.594204       2.361320      -7.544553
  200.000   -2101.995757   -2101.983373   -2102.026547     135.460584     135.460000      66.985204       7.771084     -19.321033
  300.000   -2101.995757   -2101.971058   -2102.050671     166.526512     166.526000      86.653204      15.498869     -34.459084
  400.000   -2101.995757   -2101.955995   -2102.079412     193.613504     193.613000     101.714204      24.951053     -52.494349
  500.000   -2101.995757   -2101.938837   -2102.112214     217.591603     217.592000     113.059204      35.717869     -73.077932
  600.000   -2101.995757   -2101.920121   -2102.148626     238.981954     238.982000     121.407204      47.462346     -95.926826
  700.000   -2101.995757   -2101.900260   -2102.188267     258.181818     258.181000     127.528204      59.925322    -120.801950
  800.000   -2101.995757   -2101.879559   -2102.230815     275.520816     275.520000     132.058204      72.915407    -147.501246
  900.000   -2101.995757   -2101.858230   -2102.275997     291.281078     291.280000     135.462204      86.299568    -175.853402
 1000.000   -2101.995757   -2101.836427   -2102.323580     305.693379     305.693000     138.064204      99.981168    -205.712211
 1100.000   -2101.995757   -2101.814257   -2102.373366     318.951353     318.951000     140.086204     113.893065    -236.953424
 1200.000   -2101.995757   -2101.791801   -2102.425183     331.211282     331.211000     141.683204     127.984430    -269.469109
 1300.000   -2101.995757   -2101.769117   -2102.478884     342.604531     342.604000     142.963204     142.218866    -303.167024
 1400.000   -2101.995757   -2101.746248   -2102.534338     353.238826     353.238000     144.002204     156.569393    -337.964963
 1500.000   -2101.995757   -2101.723230   -2102.591433     363.204043     363.204000     144.856204     171.013418    -373.792647
 1600.000   -2101.995757   -2101.700088   -2102.650067     372.575826     372.576000     145.566204     185.535254    -410.586068
 1700.000   -2101.995757   -2101.676841   -2102.710152     381.419403     381.419000     146.162204     200.122979    -448.290006
 1800.000   -2101.995757   -2101.653508   -2102.771608     389.788295     389.788000     146.666204     214.764670    -486.854261
 1900.000   -2101.995757   -2101.630100   -2102.834363     397.730040     397.730000     147.097204     229.453424    -526.233651
 2000.000   -2101.995757   -2101.606628   -2102.898352     405.284864     405.284000     147.468204     244.182339    -566.387388
