    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1883.355907   -1883.355894   -1883.355946      32.630520      32.481000       7.949204       0.008158      -0.024473
  100.000   -1883.355907   -1883.352412   -1883.367550      94.992464      94.993000      35.185204       2.193147      -7.306099
  200.000   -1883.355907   -1883.344954   -1883.385287     126.546804     126.545000      57.331204       6.873117     -18.436244
  300.000   -1883.355907   -1883.334411   -1883.407623     153.137540     153.137000      74.354204      13.488955     -32.452307
  400.000   -1883.355907   -1883.321429   -1883.433923     176.477775     176.478000      88.054204      21.635290     -48.955820
  500.000   -1883.355907   -1883.306506   -1883.463738     197.329305     197.330000      98.769204      30.999622     -67.665031
  600.000   -1883.355907   -1883.290084   -1883.496706     216.095619     216.095000     106.950204      41.304591     -88.352780
  700.000   -1883.355907   -1883.272521   -1883.532517     233.071557     233.071000     113.197204      52.325549    -110.824541
  800.000   -1883.355907   -1883.254081   -1883.570909     248.515923     248.516000     118.038204      63.896833    -134.915905
  900.000   -1883.355907   -1883.234954   -1883.611655     262.648494     262.648000     121.861204      75.899217    -160.484427
 1000.000   -1883.355907   -1883.215281   -1883.654560     275.651965     275.652000     124.939204      88.244221    -187.407744
 1100.000   -1883.355907   -1883.195163   -1883.699459     287.682530     287.682000     127.455204     100.868467    -215.582316
 1200.000   -1883.355907   -1883.174681   -1883.746205     298.864188     298.864000     129.542204     113.721127    -244.915898
 1300.000   -1883.355907   -1883.153893   -1883.794673     309.304506     309.304000     131.292204     126.765805    -275.330053
 1400.000   -1883.355907   -1883.132849   -1883.844752     319.090180     319.090000     132.773204     139.971126    -306.755126
 1500.000   -1883.355907   -1883.111587   -1883.896343     328.294825     328.294000     134.037204     153.313243    -339.128994
 1600.000   -1883.355907   -1883.090139   -1883.949359     336.980714     336.980000     135.123204     166.772078    -372.397065
 1700.000   -1883.355907   -1883.068529   -1884.003721     345.201372     345.201000     136.063204     180.332569    -406.509763
 1800.000   -1883.355907   -1883.046779   -1884.059359     353.002264     353.002000     136.881204     193.980911    -441.423165
 1900.000   -1883.355907   -1883.024907   -1884.116209     360.422588     360.422000     137.597204     207.705810    -477.097108
 2000.000   -1883.355907   -1883.002929   -1884.174214     367.496525     367.496000     138.226204     221.497225    -513.495826
