    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -2002.734452   -2002.734439   -2002.734493      33.885540      33.729000       7.949165       0.008158      -0.025728
  100.000   -2002.734452   -2002.730717   -2002.746403      98.431219      98.434000      39.065165       2.343750      -7.499372
  200.000   -2002.734452   -2002.722292   -2002.765012     134.036136     134.036000      65.128165       7.630522     -19.176706
  300.000   -2002.734452   -2002.710339   -2002.788835     164.190083     164.188000      84.059165      15.131149     -34.125876
  400.000   -2002.734452   -2002.695714   -2002.817139     190.488504     190.488000      98.881165      24.308482     -51.886919
  500.000   -2002.734452   -2002.679008   -2002.849391     213.834073     213.834000     110.245165      34.791664     -72.125372
  600.000   -2002.734452   -2002.660730   -2002.885162     234.722207     234.721000     118.722165      46.261292     -94.572032
  700.000   -2002.734452   -2002.641284   -2002.924090     253.519419     253.519000     125.019165      58.463852    -118.999741
  800.000   -2002.734452   -2002.620967   -2002.965869     270.536818     270.536000     129.742165      71.212972    -145.216482
  900.000   -2002.734452   -2002.599992   -2003.010235     286.035094     286.035000     133.341165      84.374995    -173.056590
 1000.000   -2002.734452   -2002.578512   -2003.056965     300.234042     300.234000     136.130165      97.853909    -202.380133
 1100.000   -2002.734452   -2002.556636   -2003.105866     313.315743     313.316000     138.328165     111.581318    -233.065999
 1200.000   -2002.734452   -2002.534447   -2003.156774     325.430346     325.430000     140.086165     125.505138    -265.011278
 1300.000   -2002.734452   -2002.512006   -2003.209543     336.701110     336.701000     141.512165     139.587089    -298.124353
 1400.000   -2002.734452   -2002.489358   -2003.264048     347.232658     347.232000     142.682165     153.798936    -332.326786
 1500.000   -2002.734452   -2002.466540   -2003.320178     357.110921     357.111000     143.654165     168.117459    -367.548922
 1600.000   -2002.734452   -2002.443581   -2003.377835     366.408580     366.408000     144.469165     182.524461    -403.729266
 1700.000   -2002.734452   -2002.420502   -2003.436932     375.188229     375.188000     145.158165     197.006764    -440.813225
 1800.000   -2002.734452   -2002.397321   -2003.497391     383.502737     383.502000     145.746165     211.553074    -478.751852
 1900.000   -2002.734452   -2002.374054   -2003.559140     391.396482     391.396000     146.251165     226.153349    -517.499967
 2000.000   -2002.734452   -2002.350712   -2003.622116     398.909362     398.909000     146.689165     240.800687    -557.018037
