    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1188.898526   -1188.898514   -1188.898560      28.865460      29.052000       7.949204       0.007530      -0.021335
  100.000   -1188.898526   -1188.895998   -1188.908815      80.427957      80.426000      23.958204       1.586345      -6.456450
  200.000   -1188.898526   -1188.890968   -1188.923390     101.725646     101.724000      38.453204       4.742721     -15.602409
  300.000   -1188.898526   -1188.883947   -1188.941050     119.442345     119.442000      49.168204       9.148468     -26.684235
  400.000   -1188.898526   -1188.875429   -1188.961332     134.762479     134.762000      57.369204      14.493598     -39.411393
  500.000   -1188.898526   -1188.865767   -1188.983905     148.265553     148.265000      63.589204      20.556600     -53.576176
  600.000   -1188.898526   -1188.855246   -1189.008508     160.289063     160.289000      68.224204      27.158633     -69.014805
  700.000   -1188.898526   -1188.844086   -1189.034927     171.078051     171.078000      71.669204      34.161644     -85.592992
  800.000   -1188.898526   -1188.832449   -1189.062979     180.824850     180.825000      74.251204      41.463978    -103.195902
  900.000   -1188.898526   -1188.820453   -1189.092512     189.688603     189.688000      76.211204      48.991588    -121.728155
 1000.000   -1188.898526   -1188.808183   -1189.123397     197.799937     197.800000      77.722204      56.691136    -141.108801
 1100.000   -1188.898526   -1188.795699   -1189.155521     205.265367     205.265000      78.905204      64.524971    -161.266932
 1200.000   -1188.898526   -1188.783047   -1189.188789     212.172635     212.172000      79.844204      72.464227    -182.142935
 1300.000   -1188.898526   -1188.770261   -1189.223119     218.594557     218.594000      80.601204      80.487570    -203.685353
 1400.000   -1188.898526   -1188.757366   -1189.258437     224.590759     224.591000      81.217204      88.579312    -225.847752
 1500.000   -1188.898526   -1188.744381   -1189.294681     230.212502     230.212000      81.726204      96.727529    -248.591224
 1600.000   -1188.898526   -1188.731322   -1189.331793     235.500973     235.501000      82.150204     104.922182    -271.879375
 1700.000   -1188.898526   -1188.718202   -1189.369724     240.492100     240.492000      82.507204     113.155113    -295.681457
 1800.000   -1188.898526   -1188.705028   -1189.408428     245.216963     245.217000      82.809204     121.421930    -319.968604
 1900.000   -1188.898526   -1188.691811   -1189.447866     249.701091     249.701000      83.068204     129.715730    -344.716343
 2000.000   -1188.898526   -1188.678555   -1189.488002     253.968043     253.968000      83.291204     138.034002    -369.902085
