    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1026.374937   -1026.374924   -1026.374968      27.610440      27.544000       7.949204       0.008158      -0.019453
  100.000   -1026.374937   -1026.372627   -1026.384778      76.248740      76.243000      21.121204       1.449548      -6.175326
  200.000   -1026.374937   -1026.368263   -1026.398461      94.747735      94.745000      33.108204       4.188002     -14.761545
  300.000   -1026.374937   -1026.362230   -1026.414805     109.971127     109.973000      42.227204       7.973770     -25.017569
  400.000   -1026.374937   -1026.354913   -1026.433402     123.131581     123.132000      49.289204      12.565260     -36.687372
  500.000   -1026.374937   -1026.346611   -1026.453968     134.735182     134.735000      54.641204      17.774848     -49.592743
  600.000   -1026.374937   -1026.337570   -1026.476278     145.067762     145.067000      58.624204      23.448166     -63.592491
  700.000   -1026.374937   -1026.327980   -1026.500147     154.337877     154.337000      61.585204      29.465987     -78.570527
  800.000   -1026.374937   -1026.317981   -1026.525421     162.713343     162.713000      63.806204      35.740460     -94.430215
  900.000   -1026.374937   -1026.307672   -1026.551967     170.330617     170.330000      65.495204      42.209460    -111.088095
 1000.000   -1026.374937   -1026.297127   -1026.579674     177.301068     177.301000      66.800204      48.826553    -128.474515
 1100.000   -1026.374937   -1026.286397   -1026.608447     183.717814     183.718000      67.823204      55.559735    -146.529860
 1200.000   -1026.374937   -1026.275521   -1026.638203     189.655485     189.655000      68.637204      62.384534    -165.202048
 1300.000   -1026.374937   -1026.264529   -1026.668872     195.176366     195.176000      69.294204      69.282124    -184.447152
 1400.000   -1026.374937   -1026.253442   -1026.700390     200.331671     200.332000      69.830204      76.239327    -204.225012
 1500.000   -1026.374937   -1026.242277   -1026.732704     205.165231     205.165000      70.272204      83.245477    -224.502370
 1600.000   -1026.374937   -1026.231049   -1026.765765     209.712273     209.712000      70.641204      90.291159    -245.248478
 1700.000   -1026.374937   -1026.219766   -1026.799530     214.004534     214.005000      70.952204      97.371354    -266.436353
 1800.000   -1026.374937   -1026.208437   -1026.833961     218.068092     218.068000      71.216204     104.480415    -288.042150
 1900.000   -1026.374937   -1026.197070   -1026.869022     221.924526     221.924000      71.442204     111.613321    -310.043278
 2000.000   -1026.374937   -1026.185669   -1026.904683     225.594238     225.594000      71.636204     118.767563    -332.420912
