    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1675.401143   -1675.401130   -1675.401179      30.747990      30.431000       7.949204       0.008158      -0.022590
  100.000   -1675.401143   -1675.398387   -1675.411693      83.496481      83.498000      27.600204       1.729418      -6.620230
  200.000   -1675.401143   -1675.392439   -1675.427062     108.631394     108.630000      45.985204       5.461847     -16.264432
  300.000   -1675.401143   -1675.384012   -1675.446111     129.892478     129.892000      59.136204      10.749874     -28.217870
  400.000   -1675.401143   -1675.373758   -1675.468312     148.333951     148.334000      69.091204      17.184361     -42.149219
  500.000   -1675.401143   -1675.362124   -1675.493273     164.594618     164.594000      76.543204      24.484813     -57.812496
  600.000   -1675.401143   -1675.349467   -1675.520677     179.059978     179.059000      82.018204      32.427207     -75.008780
  700.000   -1675.401143   -1675.336060   -1675.550262     192.019853     192.020000      86.048204      40.840233     -93.573664
  800.000   -1675.401143   -1675.322096   -1675.581810     203.716415     203.716000      89.055204      49.602783    -113.370349
  900.000   -1675.401143   -1675.307714   -1675.615134     214.343471     214.343000      91.345204      58.627632    -134.281492
 1000.000   -1675.401143   -1675.293010   -1675.650078     224.063741     224.064000      93.125204      67.854539    -156.209202
 1100.000   -1675.401143   -1675.278053   -1675.686507     233.008154     233.008000      94.536204      77.240206    -179.068764
 1200.000   -1675.401143   -1675.262893   -1675.724307     241.284916     241.284000      95.675204      86.753257    -202.788642
 1300.000   -1675.401143   -1675.247570   -1675.763378     248.980522     248.980000      96.607204      96.368593    -227.306085
 1400.000   -1675.401143   -1675.232111   -1675.803635     256.169304     256.169000      97.381204     106.069270    -252.567755
 1500.000   -1675.401143   -1675.216539   -1675.845001     262.910793     262.910000      98.030204     115.840856    -278.525334
 1600.000   -1675.401143   -1675.200872   -1675.887408     269.255128     269.255000      98.580204     125.672055    -305.136150
 1700.000   -1675.401143   -1675.185124   -1675.930799     275.246188     275.246000      99.050204     135.554083    -332.364437
 1800.000   -1675.401143   -1675.169306   -1675.975118     280.919493     280.919000      99.455204     145.480036    -360.175052
 1900.000   -1675.401143   -1675.153428   -1676.020318     286.306392     286.306000      99.807204     155.443640    -388.538504
 2000.000   -1675.401143   -1675.137498   -1676.066356     291.433842     291.434000     100.113204     165.439874    -417.427810
