    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1715.712737   -1715.712724   -1715.712776      32.630520      32.403000       7.949204       0.008158      -0.024473
  100.000   -1715.712737   -1715.709314   -1715.724239      93.655867      93.651000      34.772204       2.147967      -7.217620
  200.000   -1715.712737   -1715.701872   -1715.741749     125.116081     125.117000      57.451204       6.817896     -18.205320
  300.000   -1715.712737   -1715.691320   -1715.763861     151.734010     151.734000      74.227204      13.439382     -32.080821
  400.000   -1715.712737   -1715.678413   -1715.789930     174.945082     174.945000      87.201204      21.538653     -48.439379
  500.000   -1715.712737   -1715.663693   -1715.819480     195.515801     195.515000      97.055204      30.775600     -66.982300
  600.000   -1715.712737   -1715.647613   -1715.852128     213.892013     213.892000     104.384204      40.865961     -87.469246
  700.000   -1715.712737   -1715.630524   -1715.887553     230.411811     230.412000     109.828204      51.589480    -109.698788
  800.000   -1715.712737   -1715.612681   -1715.925482     245.357194     245.357000     113.917204      62.786141    -133.499615
  900.000   -1715.712737   -1715.594267   -1715.965682     258.962919     258.963000     117.042204      74.341110    -158.725517
 1000.000   -1715.712737   -1715.575414   -1716.007958     271.425685     271.426000     119.474204      86.171556    -185.254130
 1100.000   -1715.712737   -1715.556215   -1716.052139     282.906608     282.907000     121.401204      98.219120    -212.978149
 1200.000   -1715.712737   -1715.536740   -1716.098081     293.539242     293.539000     122.953204     110.439877    -241.807213
 1300.000   -1715.712737   -1715.517042   -1716.145657     303.432461     303.432000     124.220204     122.800569    -271.661629
 1400.000   -1715.712737   -1715.497161   -1716.194756     312.677027     312.677000     125.268204     135.276096    -302.471743
 1500.000   -1715.712737   -1715.477126   -1716.245283     321.350799     321.351000     126.145204     147.848259    -334.177940
 1600.000   -1715.712737   -1715.456963   -1716.297150     329.516090     329.516000     126.885204     160.500743    -366.725002
 1700.000   -1715.712737   -1715.436691   -1716.350282     337.227934     337.228000     127.516204     173.221625    -400.065863
 1800.000   -1715.712737   -1715.416326   -1716.404610     344.532274     344.532000     128.058204     186.000867    -434.157226
 1900.000   -1715.712737   -1715.395880   -1716.460072     351.469012     351.469000     128.526204     198.830936    -468.960186
 2000.000   -1715.712737   -1715.375365   -1716.516613     358.072266     358.072000     128.934204     211.704304    -504.440229
