    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1840.178831   -1840.178818   -1840.178870      32.630520      32.887000       7.949204       0.008158      -0.024473
  100.000   -1840.178831   -1840.175382   -1840.190374      94.076299      94.081000      36.051204       2.164282      -7.243348
  200.000   -1840.178831   -1840.167549   -1840.208078     127.161764     127.162000      60.765204       7.079568     -18.352785
  300.000   -1840.178831   -1840.156386   -1840.230642     155.321275     155.321000      78.509204      14.084462     -32.511921
  400.000   -1840.178831   -1840.142740   -1840.257391     179.861623     179.862000      92.150204      22.647463     -49.297186
  500.000   -1840.178831   -1840.127193   -1840.287819     201.588843     201.588000     102.456204      32.403361     -68.391060
  600.000   -1840.178831   -1840.110228   -1840.321517     220.976601     220.976000     110.065204      43.049069     -89.536892
  700.000   -1840.178831   -1840.092219   -1840.358143     238.385670     238.385000     115.673204      54.349896    -112.520073
  800.000   -1840.178831   -1840.073436   -1840.397406     254.118018     254.118000     119.855204      66.136416    -137.157998
  900.000   -1840.178831   -1840.054072   -1840.439060     268.426467     268.426000     123.032204      78.287520    -163.296300
 1000.000   -1840.178831   -1840.034262   -1840.482895     281.521694     281.521000     125.491204      90.718493    -190.803201
 1100.000   -1840.178831   -1840.014103   -1840.528731     293.576560     293.577000     127.431204     103.368467    -219.565749
 1200.000   -1840.178831   -1839.993667   -1840.576416     304.734021     304.734000     128.988204     116.192262    -249.488563
 1300.000   -1840.178831   -1839.973007   -1840.625815     315.110422     315.110000     130.256204     129.156618    -280.486930
 1400.000   -1840.178831   -1839.952163   -1840.676811     324.802762     324.802000     131.302204     142.236437    -312.487430
 1500.000   -1840.178831   -1839.931167   -1840.729304     333.892633     333.892000     132.176204     155.411637    -345.427312
 1600.000   -1840.178831   -1839.910044   -1840.783201     342.446718     342.447000     132.913204     168.666530    -379.248219
 1700.000   -1840.178831   -1839.888811   -1840.838423     350.524133     350.524000     133.539204     181.990450    -413.900576
 1800.000   -1840.178831   -1839.867486   -1840.894898     358.172947     358.172000     134.077204     195.372101    -449.339203
 1900.000   -1840.178831   -1839.846082   -1840.952559     365.434412     365.434000     134.542204     208.803325    -485.522057
 2000.000   -1840.178831   -1839.824608   -1841.011350     372.346236     372.346000     134.946204     222.278475    -522.413998
