    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1477.927401   -1477.927388   -1477.927437      30.747990      31.012000       7.949204       0.008158      -0.022590
  100.000   -1477.927401   -1477.924365   -1477.938327      87.612946      87.614000      30.186204       1.905120      -6.856174
  200.000   -1477.927401   -1477.917940   -1477.954525     114.787267     114.789000      49.503204       5.936872     -17.020581
  300.000   -1477.927401   -1477.908849   -1477.974691     137.721711     137.721000      63.950204      11.641566     -29.674948
  400.000   -1477.927401   -1477.897728   -1477.998265     157.719932     157.721000      75.146204      18.620104     -44.467869
  500.000   -1477.927401   -1477.885041   -1478.024839     175.449286     175.449000      83.659204      26.581324     -61.143319
  600.000   -1477.927401   -1477.871179   -1478.054084     191.291194     191.291000      90.000204      35.279867     -79.494849
  700.000   -1477.927401   -1477.856442   -1478.085723     205.537315     205.537000      94.720204      44.527482     -99.348638
  800.000   -1477.927401   -1477.841052   -1478.119521     218.427603     218.428000      98.274204      54.184861    -120.557221
  900.000   -1477.927401   -1477.825165   -1478.155279     230.166485     230.167000     100.996204      64.154112    -142.995724
 1000.000   -1477.927401   -1477.808894   -1478.192827     240.921797     240.922000     103.121204      74.364328    -166.557469
 1100.000   -1477.927401   -1477.792321   -1478.232021     250.832861     250.833000     104.809204      84.764051    -191.152096
 1200.000   -1477.927401   -1477.775506   -1478.272734     260.012952     260.013000     106.172204      95.315631    -216.699911
 1300.000   -1477.927401   -1477.758495   -1478.314859     268.556903     268.557000     107.288204     105.990204    -243.133770
 1400.000   -1477.927401   -1477.741321   -1478.358299     276.542761     276.542000     108.213204     116.767061    -270.392804
 1500.000   -1477.927401   -1477.724013   -1478.402972     284.035708     284.036000     108.989204     127.628004    -298.425558
 1600.000   -1477.927401   -1477.706591   -1478.448804     291.091300     291.091000     109.645204     138.560483    -327.185597
 1700.000   -1477.927401   -1477.689072   -1478.495728     297.755710     297.755000     110.206204     149.553831    -356.630876
 1800.000   -1477.927401   -1477.671470   -1478.543686     304.069035     304.069000     110.688204     160.599262    -386.725000
 1900.000   -1477.927401   -1477.653797   -1478.592624     310.064911     310.065000     111.105204     171.689246    -417.434085
 2000.000   -1477.927401   -1477.636061   -1478.642494     315.773386     315.773000     111.469204     182.818763    -448.728008
