    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1602.393461   -1602.393448   -1602.393499      32.003010      31.557000       7.949204       0.008158      -0.023845
  100.000   -1602.393461   -1602.390404   -1602.404426      87.989452      87.992000      31.447204       1.918298      -6.880647
  200.000   -1602.393461   -1602.383591   -1602.420808     116.770198     116.773000      52.806204       6.193524     -17.160516
  300.000   -1602.393461   -1602.373891   -1602.441416     141.242042     141.242000      68.223204      12.280371     -30.092242
  400.000   -1602.393461   -1602.362032   -1602.465659     162.567447     162.568000      80.087204      19.722012     -45.304967
  500.000   -1602.393461   -1602.348519   -1602.493100     181.452047     181.452000      89.053204      28.201554     -62.524469
  600.000   -1602.393461   -1602.333773   -1602.523384     198.304664     198.304000      95.676204      37.454817     -81.527982
  700.000   -1602.393461   -1602.318117   -1602.556213     213.439459     213.439000     100.561204      47.279113    -102.128508
  800.000   -1602.393461   -1602.301788   -1602.591334     227.116263     227.116000     104.209204      57.525724    -124.167286
  900.000   -1602.393461   -1602.284950   -1602.628534     239.558218     239.558000     106.983204      68.091738    -147.510658
 1000.000   -1602.393461   -1602.267723   -1602.667630     250.945642     250.946000     109.135204      78.901852    -172.043789
 1100.000   -1602.393461   -1602.250190   -1602.708467     261.430364     261.430000     110.837204      89.903985    -197.669415
 1200.000   -1602.393461   -1602.232414   -1602.750912     271.135567     271.135000     112.205204     101.058603    -224.304077
 1300.000   -1602.393461   -1602.214441   -1602.794847     280.161976     280.162000     113.322204     112.336840    -251.873729
 1400.000   -1602.393461   -1602.196306   -1602.840173     288.594987     288.595000     114.246204     123.716734    -280.316247
 1500.000   -1602.393461   -1602.178037   -1602.886801     296.504332     296.504000     115.019204     135.180714    -309.575783
 1600.000   -1602.393461   -1602.159654   -1602.934651     303.948980     303.949000     115.672204     146.716231    -339.602137
 1700.000   -1602.393461   -1602.141175   -1602.983653     310.978453     310.978000     116.228204     158.311988    -370.351382
 1800.000   -1602.393461   -1602.122613   -1603.033746     317.636149     317.636000     116.707204     169.959828    -401.785240
 1900.000   -1602.393461   -1602.103981   -1603.084872     323.957322     323.957000     117.121204     181.651595    -433.867317
 2000.000   -1602.393461   -1602.085288   -1603.136981     329.973937     329.974000     117.481204     193.381639    -466.566235
