    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1953.498094   -1953.498082   -1953.498135      33.258030      33.627000       7.949204       0.007530      -0.025728
  100.000   -1953.498094   -1953.494284   -1953.510159      99.617212      99.614000      39.341204       2.390813      -7.570908
  200.000   -1953.498094   -1953.485826   -1953.528969     135.363320     135.364000      65.396204       7.698293     -19.374371
  300.000   -1953.498094   -1953.473813   -1953.553015     165.666823     165.667000      84.506204      15.236570     -34.463477
  400.000   -1953.498094   -1953.459119   -1953.581565     192.090224     192.090000      99.259204      24.457202     -52.378887
  500.000   -1953.498094   -1953.442366   -1953.614078     215.501994     215.502000     110.454204      34.969877     -72.781120
  600.000   -1953.498094   -1953.424068   -1953.650118     236.414392     236.413000     118.769204      46.452055     -95.396580
  700.000   -1953.498094   -1953.404626   -1953.689316     255.208317     255.208000     124.936204      58.652105    -119.993717
  800.000   -1953.498094   -1953.384330   -1953.731362     272.207563     272.207000     129.561204      71.388048    -146.378003
  900.000   -1953.498094   -1953.363390   -1953.775993     287.680565     287.680000     133.088204      84.528107    -174.384401
 1000.000   -1953.498094   -1953.341954   -1953.822983     301.850508     301.850000     135.827204      97.979411    -203.871096
 1100.000   -1953.498094   -1953.320130   -1953.872139     314.901061     314.901000     137.993204     111.674190    -234.716978
 1200.000   -1953.498094   -1953.297995   -1953.923297     326.986048     326.985000     139.733204     125.564123    -266.819135
 1300.000   -1953.498094   -1953.275611   -1953.976311     338.227890     338.228000     141.151204     139.610307    -300.085950
 1400.000   -1953.498094   -1953.253021   -1954.031058     348.732856     348.733000     142.322204     153.785758    -334.440240
 1500.000   -1953.498094   -1953.230260   -1954.087425     358.586406     358.586000     143.300204     168.068513    -369.811096
 1600.000   -1953.498094   -1953.207356   -1954.145316     367.862050     367.861000     144.124204     182.441002    -406.138277
 1700.000   -1953.498094   -1953.184331   -1954.204642     376.620797     376.621000     144.825204     196.889420    -443.365935
 1800.000   -1953.498094   -1953.161203   -1954.265328     384.916377     384.916000     145.426204     211.402471    -481.447007
 1900.000   -1953.498094   -1953.137985   -1954.327301     392.793517     392.793000     145.946204     225.971999    -520.335685
 2000.000   -1953.498094   -1953.114690   -1954.390498     400.291139     400.291000     146.397204     240.589844    -559.992434
