    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -2077.964071   -2077.964058   -2077.964113      34.513050      34.063000       7.949204       0.008158      -0.026355
  100.000   -2077.964071   -2077.960278   -2077.976093      99.240707      99.242000      40.327204       2.380145      -7.543925
  200.000   -2077.964071   -2077.951465   -2077.994952     136.442637     136.444000      68.546204       7.910391     -19.378136
  300.000   -2077.964071   -2077.938860   -2078.019292     168.239614     168.239000      88.700204      15.820155     -34.651730
  400.000   -2077.964071   -2077.923439   -2078.048359     195.971373     195.971000     104.155204      25.496986     -52.891563
  500.000   -2077.964071   -2077.905865   -2078.081584     220.530859     220.530000     115.820204      36.524847     -73.740583
  600.000   -2077.964071   -2077.886687   -2078.118507     242.448947     242.448000     124.427204      48.559234     -96.910134
  700.000   -2077.964071   -2077.866328   -2078.158739     262.129752     262.129000     130.765204      61.334710    -122.156117
  800.000   -2077.964071   -2077.845095   -2078.201952     279.914170     279.913000     135.487204      74.658630    -149.272706
  900.000   -2077.964071   -2077.823206   -2078.247867     296.087805     296.088000     139.068204      88.394196    -178.084828
 1000.000   -2077.964071   -2077.800814   -2078.296248     310.889789     310.889000     141.837204     102.445400    -208.444389
 1100.000   -2077.964071   -2077.778031   -2078.346892     324.514515     324.514000     144.018204     116.741960    -240.224006
 1200.000   -2077.964071   -2077.754936   -2078.399623     337.122949     337.123000     145.764204     131.234304    -273.313236
 1300.000   -2077.964071   -2077.731590   -2078.454293     348.848738     348.848000     147.184204     145.884152    -307.619207
 1400.000   -2077.964071   -2077.708038   -2078.510767     359.800339     359.800000     148.354204     160.663268    -343.057207
 1500.000   -2077.964071   -2077.684317   -2078.568932     370.069839     370.070000     149.329204     175.548433    -379.556326
 1600.000   -2077.964071   -2077.660452   -2078.628684     379.734539     379.734000     150.150204     190.523959    -417.051304
 1700.000   -2077.964071   -2077.636467   -2078.689932     388.858719     388.858000     150.848204     205.574786    -455.485036
 1800.000   -2077.964071   -2077.612379   -2078.752595     397.498301     397.498000     151.445204     220.690247    -494.806695
 1900.000   -2077.964071   -2077.588203   -2078.816600     405.700738     405.700000     151.961204     235.860929    -534.970473
 2000.000   -2077.964071   -2077.563950   -2078.881879     413.506813     413.507000     152.409204     251.079929    -575.933698
