    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -2626.542801   -2626.542788   -2626.542844      35.140560      35.373000       7.949204       0.008158      -0.026983
  100.000   -2626.542801   -2626.538442   -2626.555753     108.628256     108.629000      46.114204       2.735316      -8.127510
  200.000   -2626.542801   -2626.528399   -2626.576538     151.038519     151.039000      77.922204       9.037399     -21.170305
  300.000   -2626.542801   -2626.514107   -2626.603554     187.096290     187.095000     100.346204      18.005772     -38.123115
  400.000   -2626.542801   -2626.496697   -2626.635919     218.407993     218.408000     117.386204      28.930721     -58.432476
  500.000   -2626.542801   -2626.476920   -2626.672970     246.046671     246.047000     130.182204      41.340986     -81.682349
  600.000   -2626.542801   -2626.455385   -2626.714178     270.658659     270.659000     139.594204      54.854414    -107.540781
  700.000   -2626.542801   -2626.432560   -2626.759100     292.724451     292.724000     146.510204      69.177330    -135.729785
  800.000   -2626.542801   -2626.408783   -2626.807361     312.639601     312.639000     151.653204      84.097635    -166.014046
  900.000   -2626.542801   -2626.384291   -2626.858648     330.737512     330.737000     155.548204      99.466610    -198.197151
 1000.000   -2626.542801   -2626.359254   -2626.912692     347.287879     347.288000     158.555204     115.177578    -232.110301
 1100.000   -2626.542801   -2626.333791   -2626.969265     362.514809     362.515000     160.919204     131.155865    -267.610425
 1200.000   -2626.542801   -2626.307991   -2627.028172     376.600649     376.601000     162.810204     147.345623    -304.575156
 1300.000   -2626.542801   -2626.281919   -2627.089243     389.695295     389.695000     164.345204     163.706064    -342.897819
 1400.000   -2626.542801   -2626.255625   -2627.152330     401.922396     401.922000     165.608204     180.205812    -382.485543
 1500.000   -2626.542801   -2626.229147   -2627.217303     413.385181     413.385000     166.660204     196.821022    -423.256750
 1600.000   -2626.542801   -2626.202516   -2627.284048     424.170091     424.170000     167.545204     213.532240    -465.139905
 1700.000   -2626.542801   -2626.175754   -2627.352462     434.350610     434.350000     168.296204     230.325663    -508.070374
 1800.000   -2626.542801   -2626.148882   -2627.422455     443.988774     443.988000     168.939204     247.188112    -551.991682
 1900.000   -2626.542801   -2626.121915   -2627.493944     453.137851     453.138000     169.493204     264.110174    -596.851744
 2000.000   -2626.542801   -2626.094865   -2627.566856     461.844536     461.844000     169.974204     281.084319    -642.604753
