    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1913.181474   -1913.181461   -1913.181512      32.003010      31.910000       7.949204       0.008158      -0.023845
  100.000   -1913.181474   -1913.178327   -1913.192663      89.959834      89.961000      32.131204       1.974774      -7.021209
  200.000   -1913.181474   -1913.171366   -1913.209410     119.364952     119.365000      53.925204       6.342871     -17.530119
  300.000   -1913.181474   -1913.161478   -1913.230470     144.310566     144.310000      69.399204      12.547690     -30.745480
  400.000   -1913.181474   -1913.149442   -1913.255230     165.957570     165.957000      81.124204      20.100400     -46.282628
  500.000   -1913.181474   -1913.135779   -1913.283229     185.052699     185.053000      89.913204      28.674069     -63.852280
  600.000   -1913.181474   -1913.120908   -1913.314099     202.048807     202.048000      96.378204      38.005771     -83.223514
  700.000   -1913.181474   -1913.105151   -1913.347532     217.280716     217.281000     101.135204      47.893446    -104.203056
  800.000   -1913.181474   -1913.088738   -1913.383272     231.028788     231.028000     104.683204      58.192767    -126.630263
  900.000   -1913.181474   -1913.071832   -1913.421099     243.520595     243.521000     107.380204      68.801451    -150.367084
 1000.000   -1913.181474   -1913.054546   -1913.460830     254.947273     254.947000     109.472204      79.648589    -175.298684
 1100.000   -1913.181474   -1913.036964   -1913.502307     265.461260     265.461000     111.126204      90.681470    -201.325916
 1200.000   -1913.181474   -1913.019145   -1913.545396     275.189804     275.190000     112.456204     101.863071    -228.364694
 1300.000   -1913.181474   -1913.001135   -1913.589980     284.235481     284.235000     113.541204     113.164526    -256.341600
 1400.000   -1913.181474   -1912.982967   -1913.635956     292.683662     292.683000     114.439204     124.565128    -285.192000
 1500.000   -1913.181474   -1912.964668   -1913.683236     300.605737     300.605000     115.191204     136.047933    -314.860673
 1600.000   -1913.181474   -1912.946259   -1913.731740     308.060739     308.060000     115.826204     147.599765    -345.297418
 1700.000   -1913.181474   -1912.927757   -1913.781399     315.099348     315.099000     116.367204     159.209955    -376.458937
 1800.000   -1913.181474   -1912.909175   -1913.832149     321.764119     321.764000     116.832204     170.870345    -408.305069
 1900.000   -1913.181474   -1912.890524   -1913.883934     328.091952     328.092000     117.234204     182.574035    -440.800675
 2000.000   -1913.181474   -1912.871813   -1913.936702     334.114248     334.114000     117.585204     194.315374    -473.913122
