    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1240.142027   -1240.142014   -1240.142061      29.492970      29.409000       7.949204       0.008158      -0.021335
  100.000   -1240.142027   -1240.139374   -1240.152374      81.576300      81.578000      25.579204       1.664784      -6.492846
  200.000   -1240.142027   -1240.133969   -1240.167259     104.449040     104.450000      41.542204       5.056476     -15.833332
  300.000   -1240.142027   -1240.126342   -1240.185475     123.688496     123.690000      53.662204       9.842494     -27.264054
  400.000   -1240.142027   -1240.117007   -1240.206552     140.475957     140.475000      63.080204      15.700300     -40.490083
  500.000   -1240.142027   -1240.106356   -1240.230147     155.360181     155.360000      70.254204      22.383909     -55.296181
  600.000   -1240.142027   -1240.094713   -1240.255985     168.666321     168.666000      75.609204      29.690008     -71.509785
  700.000   -1240.142027   -1240.082330   -1240.283834     180.636821     180.636000      79.606204      37.460464     -88.985311
  800.000   -1240.142027   -1240.069392   -1240.313497     191.472911     191.473000      82.625204      45.579189    -107.599140
  900.000   -1240.142027   -1240.056032   -1240.344809     201.344950     201.344000      84.946204      53.962722    -127.247733
 1000.000   -1240.142027   -1240.042345   -1240.377626     210.392180     210.392000      86.764204      62.551452    -147.840728
 1100.000   -1240.142027   -1240.028398   -1240.411827     218.732302     218.732000      88.214204      71.303334    -169.302198
 1200.000   -1240.142027   -1240.014244   -1240.447308     226.459992     226.460000      89.388204      80.185110    -191.566880
 1300.000   -1240.142027   -1239.999920   -1240.483976     233.653831     233.654000      90.353204      89.173564    -214.576417
 1400.000   -1240.142027   -1239.985455   -1240.521753     240.380256     240.380000      91.156204      98.250496    -238.281862
 1500.000   -1240.142027   -1239.970873   -1240.560568     246.693006     246.693000      91.831204     107.400847    -262.638663
 1600.000   -1240.142027   -1239.956192   -1240.600360     252.638664     252.638000      92.404204     116.613321    -287.608541
 1700.000   -1240.142027   -1239.941426   -1240.641072     258.255801     258.255000      92.894204     125.879134    -313.155728
 1800.000   -1240.142027   -1239.926588   -1240.682655     263.577557     263.577000      93.317204     135.190127    -339.249476
 1900.000   -1240.142027   -1239.911687   -1240.725065     268.633068     268.633000      93.684204     144.540653    -365.862175
 2000.000   -1240.142027   -1239.896732   -1240.768261     273.446581     273.446000      94.004204     153.925065    -392.968097
