    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -764.570980    -764.570967    -764.571007      25.100400      25.148000       7.949204       0.008158      -0.016943
  100.000    -764.570980    -764.569026    -764.580193      70.074042      70.076000      16.515204       1.226155      -5.781250
  200.000    -764.570980    -764.565653    -764.592547      84.381270      84.382000      25.627204       3.342746     -13.533508
  300.000    -764.570980    -764.560951    -764.606963      96.243300      96.242000      33.090204       6.293298     -22.579692
  400.000    -764.570980    -764.555191    -764.623143     106.601399     106.600000      38.957204       9.907755     -32.732804
  500.000    -764.570980    -764.548608    -764.640877     115.799440     115.800000      43.451204      14.038654     -43.861066
  600.000    -764.570980    -764.541401    -764.659999     124.035718     124.036000      46.835204      18.561118     -55.860313
  700.000    -764.570980    -764.533725    -764.680367     131.456173     131.456000      49.386204      23.377885     -68.641436
  800.000    -764.570980    -764.525693    -764.701860     138.183193     138.183000      51.335204      28.418045     -82.128509
  900.000    -764.570980    -764.517386    -764.724377     144.321025     144.321000      52.852204      33.630771     -96.258151
 1000.000    -764.570980    -764.508864    -764.747831     149.954182     149.954000      54.055204      38.978411    -110.975771
 1100.000    -764.570980    -764.500170    -764.772148     155.153559     155.153000      55.027204      44.433983    -126.234932
 1200.000    -764.570980    -764.491335    -764.797262     159.976876     159.977000      55.824204      49.978034    -141.994218
 1300.000    -764.570980    -764.482384    -764.823118     164.472302     164.472000      56.487204      55.594876    -158.219116
 1400.000    -764.570980    -764.473337    -764.849667     168.679170     168.679000      57.045204      61.271959    -174.878879
 1500.000    -764.570980    -764.464208    -764.876866     172.631348     172.631000      57.518204      67.000498    -191.946524
 1600.000    -764.570980    -764.455008    -764.904676     176.356979     176.357000      57.923204      72.773590    -209.397577
 1700.000    -764.570980    -764.445749    -764.933064     179.879433     179.879000      58.273204      78.583705    -227.211331
 1800.000    -764.570980    -764.436438    -764.961998     183.218975     183.219000      58.576204      84.426450    -245.367705
 1900.000    -764.570980    -764.427082    -764.991450     186.392928     186.393000      58.841204      90.297434    -263.849130
 2000.000    -764.570980    -764.417686    -765.021397     189.417345     189.417000      59.074204      96.193518    -282.641172
