    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -788.589243    -788.589230    -788.589270      25.100400      25.203000       7.949204       0.008158      -0.016943
  100.000    -788.589243    -788.587292    -788.598417      69.810487      69.814000      16.579204       1.224272      -5.756777
  200.000    -788.589243    -788.583946    -788.610726      84.023589      84.024000      25.142204       3.323920     -13.480797
  300.000    -788.589243    -788.579375    -788.625061      95.561406      95.560000      31.941204       6.192269     -22.476153
  400.000    -788.589243    -788.573845    -788.641100     105.507963     105.507000      37.230204       9.662399     -32.540786
  500.000    -788.589243    -788.567577    -788.658625     114.267061     114.267000      41.244204      13.595632     -43.537899
  600.000    -788.589243    -788.560754    -788.677468     122.065337     122.065000      44.241204      17.877132     -55.362070
  700.000    -788.589243    -788.553517    -788.697487     129.060878     129.061000      46.478204      22.418422     -67.924192
  800.000    -788.589243    -788.545970    -788.718566     135.382145     135.382000      48.164204      27.154240     -81.151476
  900.000    -788.589243    -788.538187    -788.740606     141.133274     141.133000      49.451204      32.038151     -94.981796
 1000.000    -788.589243    -788.530224    -788.763522     146.396828     146.397000      50.448204      37.035013    -109.361815
 1100.000    -788.589243    -788.522120    -788.787244     151.243601     151.243000      51.232204      42.120354    -124.247608
 1200.000    -788.589243    -788.513904    -788.811708     155.729157     155.729000      51.858204      47.275976    -139.599012
 1300.000    -788.589243    -788.505598    -788.836861     159.900650     159.901000      52.363204      52.488074    -155.382771
 1400.000    -788.589243    -788.497219    -788.862657     163.797142     163.797000      52.776204      57.745980    -171.570019
 1500.000    -788.589243    -788.488781    -788.889053     167.449788     167.450000      53.117204      63.040910    -188.133773
 1600.000    -788.589243    -788.480293    -788.916015     170.887445     170.887000      53.402204      68.367215    -205.052698
 1700.000    -788.589243    -788.471763    -788.943508     174.132179     174.132000      53.643204      73.719875    -222.304830
 1800.000    -788.589243    -788.463198    -788.971505     177.204292     177.204000      53.847204      79.094498    -239.873228
 1900.000    -788.589243    -788.454602    -788.999979     180.120801     180.121000      54.022204      84.488574    -257.740947
 2000.000    -788.589243    -788.445981    -789.028906     182.895633     182.895000      54.173204      89.898338    -275.892929
