    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -889.038073    -889.038060    -889.038102      26.355420      26.045000       7.949204       0.008158      -0.018198
  100.000    -889.038073    -889.036046    -889.047517      71.981672      71.978000      18.146204       1.271963      -5.926204
  200.000    -889.038073    -889.032237    -889.060318      88.105542      88.104000      29.156204       3.662148     -13.958960
  300.000    -889.038073    -889.026898    -889.075459     101.575044     101.574000      37.492204       7.012424     -23.460089
  400.000    -889.038073    -889.020385    -889.092599     113.287518     113.288000      43.977204      11.099397     -34.215610
  500.000    -889.038073    -889.012965    -889.111495     123.657121     123.657000      48.898204      15.755521     -46.073039
  600.000    -889.038073    -889.004867    -889.131952     132.911847     132.911000      52.548204      20.837097     -58.910011
  700.000    -889.038073    -888.996267    -889.153806     141.224711     141.225000      55.254204      26.233683     -72.623615
  800.000    -889.038073    -888.987292    -889.176921     148.742617     148.742000      57.290204      31.865585     -87.128508
  900.000    -889.038073    -888.978033    -889.201178     155.584132     155.584000      58.854204      37.675700    -102.350019
 1000.000    -889.038073    -888.968552    -889.226478     161.851144     161.851000      60.082204      43.625123    -118.226022
 1100.000    -889.038073    -888.958896    -889.252737     167.625605     167.625000      61.066204      49.684359    -134.703807
 1200.000    -889.038073    -888.949099    -889.279881     172.974177     172.974000      61.867204      55.832075    -151.736938
 1300.000    -889.038073    -888.939185    -889.307848     177.953630     177.953000      62.529204      62.053209    -169.286510
 1400.000    -889.038073    -888.929175    -889.336581     182.608099     182.608000      63.084204      68.334584    -187.316755
 1500.000    -889.038073    -888.919083    -889.366033     186.977063     186.977000      63.554204      74.667415    -205.798180
 1600.000    -889.038073    -888.908923    -889.396161     191.091698     191.092000      63.955204      81.042917    -224.703801
 1700.000    -889.038073    -888.898702    -889.426926     194.979907     194.980000      64.300204      87.456696    -244.009146
 1800.000    -889.038073    -888.888431    -889.458294     198.663740     198.664000      64.599204      93.901851    -263.692880
 1900.000    -889.038073    -888.878115    -889.490234     202.163576     202.163000      64.860204     100.375245    -283.735549
 2000.000    -889.038073    -888.867761    -889.522719     205.496347     205.496000      65.089204     106.872483    -304.120211
