    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -713.323067    -713.323055    -713.323094      24.472890      24.614000       7.949204       0.007530      -0.016943
  100.000    -713.323067    -713.321533    -713.331663      63.566763      63.562000      12.888204       0.962600      -5.394076
  200.000    -713.323067    -713.318857    -713.342728      74.896456      74.898000      20.544204       2.641817     -12.337474
  300.000    -713.323067    -713.315073    -713.355443      84.441929      84.441000      26.665204       5.016315     -20.316264
  400.000    -713.323067    -713.310434    -713.369578      92.783629      92.783000      31.347204       7.927334     -29.186118
  500.000    -713.323067    -713.305142    -713.384964     100.178206     100.178000      34.892204      11.248117     -38.840986
  600.000    -713.323067    -713.299360    -713.401465     106.786514     106.786000      37.547204      14.876380     -49.195529
  700.000    -713.323067    -713.293211    -713.418964     112.730379     112.731000      39.535204      18.734939     -60.176326
  800.000    -713.323067    -713.286785    -713.437365     118.113070     118.112000      41.035204      22.767318     -71.723138
  900.000    -713.323067    -713.280150    -713.456583     123.014969     123.015000      42.182204      26.930847     -83.782625
 1000.000    -713.323067    -713.273355    -713.476550     127.506894     127.507000      43.071204      31.194777     -96.312117
 1100.000    -713.323067    -713.266433    -713.497204     131.646464     131.646000      43.770204      35.538401    -109.272709
 1200.000    -713.323067    -713.259412    -713.518492     135.479409     135.480000      44.327204      39.944149    -122.631142
 1300.000    -713.323067    -713.252311    -713.540370     139.046079     139.046000      44.777204      44.400098    -136.359806
 1400.000    -713.323067    -713.245145    -713.562797     142.378433     142.378000      45.145204      48.896834    -150.432972
 1500.000    -713.323067    -713.237925    -713.585738     145.504090     145.504000      45.449204      53.427456    -164.828679
 1600.000    -713.323067    -713.230662    -713.609162     148.445334     148.445000      45.702204      57.985062    -179.527473
 1700.000    -713.323067    -713.223361    -713.633041     151.222528     151.223000      45.916204      62.566512    -194.511785
 1800.000    -713.323067    -713.216029    -713.657352     153.852553     153.852000      46.098204      67.167415    -209.767180
 1900.000    -713.323067    -713.208670    -713.682070     156.349071     156.349000      46.254204      71.785261    -225.277973
 2000.000    -713.323067    -713.201288    -713.707177     158.725203     158.725000      46.388204      76.417540    -241.032866
