    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1051.593110   -1051.593098   -1051.593142      27.610440      27.638000       7.949165       0.007530      -0.020080
  100.000   -1051.593110   -1051.590898   -1051.602787      74.604664      74.607000      20.787165       1.388052      -6.072414
  200.000   -1051.593110   -1051.586536   -1051.616201      93.075421      93.077000      33.360165       4.125251     -14.489833
  300.000   -1051.593110   -1051.580426   -1051.632293     108.490204     108.491000      42.952165       7.959337     -24.587724
  400.000   -1051.593110   -1051.572944   -1051.650676     121.944018     121.944000      50.653165      12.654367     -36.123241
  500.000   -1051.593110   -1051.564373   -1051.671081     133.920674     133.921000      56.650165      18.032755     -48.927582
  600.000   -1051.593110   -1051.554967   -1051.693294     144.669293     144.670000      61.179165      23.935114     -62.866462
  700.000   -1051.593110   -1051.544933   -1051.717135     154.369253     154.368000      64.580165      30.231549     -77.826928
  800.000   -1051.593110   -1051.534427   -1051.742447     163.168288     163.168000      67.162165      36.824169     -93.710461
  900.000   -1051.593110   -1051.523559   -1051.769099     171.198673     171.198000      69.152165      43.643948    -110.434857
 1000.000   -1051.593110   -1051.512410   -1051.796976     178.568011     178.568000      70.712165      50.640057    -127.927954
 1100.000   -1051.593110   -1051.501038   -1051.825982     185.368736     185.368000      71.954165      57.776101    -146.129509
 1200.000   -1051.593110   -1051.489489   -1051.856031     191.673975     191.674000      72.958165      65.023214    -164.985557
 1300.000   -1051.593110   -1051.477795   -1051.887049     197.546906     197.547000      73.779165      72.361316    -184.449662
 1400.000   -1051.593110   -1051.465981   -1051.918973     203.040721     203.040000      74.459165      79.774719    -204.482291
 1500.000   -1051.593110   -1051.454069   -1051.951744     208.197360     208.197000      75.027165      87.249618    -225.046421
 1600.000   -1051.593110   -1051.442073   -1051.985314     213.055725     213.055000      75.507165      94.777228    -246.111932
 1700.000   -1051.593110   -1051.430007   -1052.019635     217.645568     217.645000      75.915165     102.348764    -267.648703
 1800.000   -1051.593110   -1051.417881   -1052.054669     221.994910     221.995000      76.265165     109.957950    -289.632888
 1900.000   -1051.593110   -1051.405703   -1052.090378     226.126531     226.126000      76.567165     117.599767    -312.040643
 2000.000   -1051.593110   -1051.393479   -1052.126729     230.060854     230.061000      76.829165     125.270449    -334.851259
