    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -2002.075288   -2002.075276   -2002.075332      35.140560      35.098000       7.949165       0.007530      -0.027610
  100.000   -2002.075288   -2002.071498   -2002.087550     100.727905     100.729000      39.381165       2.378263      -7.694528
  200.000   -2002.075288   -2002.063037   -2002.106540     136.492838     136.493000      65.283165       7.687625     -19.610943
  300.000   -2002.075288   -2002.051080   -2002.130757     166.660381     166.660000      83.902165      15.190762     -34.807352
  400.000   -2002.075288   -2002.036522   -2002.159448     192.843236     192.843000      98.173165      24.326053     -52.811242
  500.000   -2002.075288   -2002.019977   -2002.192058     215.965097     215.965000     108.938165      34.708206     -73.274343
  600.000   -2002.075288   -2002.001952   -2002.228147     236.566041     236.566000     116.869165      46.019073     -95.920551
  700.000   -2002.075288   -2001.982840   -2002.267344     255.041579     255.041000     122.688165      58.012044    -120.517061
  800.000   -2002.075288   -2001.962928   -2002.309338     271.719674     271.719000     126.997165      70.507024    -146.868716
  900.000   -2002.075288   -2001.942420   -2002.353865     286.873169     286.873000     130.237165      83.375999    -174.809853
 1000.000   -2002.075288   -2001.921460   -2002.400701     300.728520     300.729000     132.714165      96.528608    -204.199912
 1100.000   -2002.075288   -2001.900151   -2002.449654     313.471480     313.472000     134.640165     109.900219    -234.918409
 1200.000   -2002.075288   -2001.878569   -2002.500560     325.254644     325.255000     136.160165     123.443140    -266.862433
 1300.000   -2002.075288   -2001.856769   -2002.553275     336.203446     336.203000     137.379165     137.122858    -299.941622
 1400.000   -2002.075288   -2001.834795   -2002.607676     346.421826     346.422000     138.369165     150.911762    -334.078794
 1500.000   -2002.075288   -2001.812677   -2002.663653     355.997300     355.997000     139.183165     164.791029    -369.204921
 1600.000   -2002.075288   -2001.790442   -2002.721109     365.001781     365.002000     139.860165     178.743713    -405.259136
 1700.000   -2002.075288   -2001.768107   -2002.779959     373.498381     373.498000     140.428165     192.759149    -442.188099
 1800.000   -2002.075288   -2001.745689   -2002.840127     381.539327     381.539000     140.908165     206.826668    -479.944121
 1900.000   -2002.075288   -2001.723200   -2002.901542     389.169152     389.169000     141.319165     220.938741    -518.482648
 2000.000   -2002.075288   -2001.700651   -2002.964143     396.426932     396.427000     141.672165     235.088464    -557.765401
