    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1050.934140   -1050.934127   -1050.934173      28.865460      29.012000       7.949165       0.008158      -0.020708
  100.000   -1050.934140   -1050.932101   -1050.943780      73.286893      73.285000      19.409165       1.279493      -6.049196
  200.000   -1050.934140   -1050.927987   -1050.956892      90.690883      90.690000      31.668165       3.861069     -14.277108
  300.000   -1050.934140   -1050.922173   -1050.972542     105.356837     105.355000      40.884165       7.509412     -24.097639
  400.000   -1050.934140   -1050.915066   -1050.990371     118.136601     118.136000      48.003165      11.969126     -35.285515
  500.000   -1050.934140   -1050.906966   -1051.010117     129.456568     129.456000      53.385165      17.051957     -47.676327
  600.000   -1050.934140   -1050.898126   -1051.031567     139.559270     139.559000      57.358165      22.599145     -61.136417
  700.000   -1050.934140   -1050.888741   -1051.054542     148.631122     148.631000      60.277165      28.488326     -75.553459
  800.000   -1050.934140   -1050.878955   -1051.078892     156.828084     156.828000      62.441165      34.629139     -90.833328
  900.000   -1050.934140   -1050.868868   -1051.104487     164.281421     164.281000      64.069165      40.958833    -106.894446
 1000.000   -1050.934140   -1050.858555   -1051.131218     171.098759     171.099000      65.315165      47.430343    -123.668416
 1100.000   -1050.934140   -1050.848066   -1051.158991     177.371406     177.372000      66.284165      54.012296    -141.096251
 1200.000   -1050.934140   -1050.837439   -1051.187725     183.173307     183.173000      67.050165      60.680845    -159.127123
 1300.000   -1050.934140   -1050.826703   -1051.217350     188.565307     188.565000      67.664165      67.417792    -177.717107
 1400.000   -1050.934140   -1050.815879   -1051.247806     193.598937     193.598000      68.163165      74.209960    -196.828552
 1500.000   -1050.934140   -1050.804983   -1051.279037     198.315750     198.316000      68.573165      81.047309    -216.426316
 1600.000   -1050.934140   -1050.794027   -1051.310998     202.752795     202.752000      68.914165      87.922309    -236.482164
 1700.000   -1050.934140   -1050.783022   -1051.343645     206.939140     206.939000      69.200165      94.828056    -256.968483
 1800.000   -1050.934140   -1050.771974   -1051.376942     210.901928     210.902000      69.442165     101.760787    -277.862683
 1900.000   -1050.934140   -1050.760891   -1051.410853     214.661923     214.662000      69.649165     108.715480    -299.142175
 2000.000   -1050.934140   -1050.749777   -1051.445349     218.239193     218.239000      69.827165     115.689626    -320.788760
