    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -313.543231    -313.543219    -313.543248      18.197790      18.341000       7.949165       0.007530      -0.010668
  100.000    -313.543231    -313.541938    -313.550727      55.151854      55.152000       8.698165       0.811370      -4.703815
  200.000    -313.543231    -313.540352    -313.560096      61.947787      61.946000      11.290165       1.806601     -10.582956
  300.000    -313.543231    -313.538344    -313.570385      67.020160      67.021000      13.871165       3.066641     -17.039407
  400.000    -313.543231    -313.535951    -313.581417      71.325924      71.325000      16.079165       4.568273     -23.962097
  500.000    -313.543231    -313.533244    -313.593090      75.107927      75.108000      17.816165       6.266942     -31.287021
  600.000    -313.543231    -313.530295    -313.605333      78.478492      78.478000      19.130165       8.117469     -38.969626
  700.000    -313.543231    -313.527164    -313.618085      81.505481      81.505000      20.121165      10.082203     -46.971634
  800.000    -313.543231    -313.523894    -313.631295      84.244002      84.244000      20.885165      12.134161     -55.261041
  900.000    -313.543231    -313.520516    -313.644922      86.740010      86.740000      21.491165      14.253890     -63.812119
 1000.000    -313.543231    -313.517051    -313.658930      89.030491      89.031000      21.985165      16.428212     -72.602279
 1100.000    -313.543231    -313.513513    -313.673289      91.146398      91.146000      22.397165      18.648342     -81.612696
 1200.000    -313.543231    -313.509915    -313.687972      93.110457      93.110000      22.747165      20.906123     -90.826425
 1300.000    -313.543231    -313.506266    -313.702958      94.943228      94.943000      23.048165      23.195907    -100.230290
 1400.000    -313.543231    -313.502572    -313.718226      96.660744      96.661000      23.309165      25.513929    -109.811112
 1500.000    -313.543231    -313.498838    -313.733760      98.277269      98.277000      23.537165      27.857051    -119.558853
 1600.000    -313.543231    -313.495071    -313.749544      99.802720      99.803000      23.738165      30.220882    -129.463471
 1700.000    -313.543231    -313.491274    -313.765565     101.247262     101.247000      23.915165      32.603537    -139.516808
 1800.000    -313.543231    -313.487450    -313.781810     102.618802     102.619000      24.073165      35.003135    -149.710708
 1900.000    -313.543231    -313.483602    -313.798268     103.924243     103.924000      24.213165      37.417794    -160.038268
 2000.000    -313.543231    -313.479733    -313.814929     105.169421     105.169000      24.338165      39.845630    -170.493212
