    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -613.407105    -613.407092    -613.407132      25.100400      25.123000       7.949165       0.008158      -0.016943
  100.000    -613.407105    -613.405298    -613.416137      68.015809      68.013000      14.165165       1.133911      -5.667670
  200.000    -613.407105    -613.402596    -613.427946      79.536893      79.538000      19.885165       2.829443     -13.077936
  300.000    -613.407105    -613.398986    -613.441368      88.650429      88.649000      25.239165       5.094754     -21.500375
  400.000    -613.407105    -613.394614    -613.456135      96.512607      96.514000      29.450165       7.838227     -30.766815
  500.000    -613.407105    -613.389656    -613.472079     103.442513     103.442000      32.613165      10.949422     -40.771835
  600.000    -613.407105    -613.384263    -613.489064     109.606126     109.606000      34.954165      14.333583     -51.430092
  700.000    -613.407105    -613.378547    -613.506979     115.131949     115.131000      36.692165      17.920431     -62.671934
  800.000    -613.407105    -613.372591    -613.525730     120.120317     120.120000      37.995165      21.657880     -74.438374
  900.000    -613.407105    -613.366454    -613.545239     124.654862     124.655000      38.988165      25.508909     -86.680466
 1000.000    -613.407105    -613.360177    -613.565440     128.804585     128.804000      39.754165      29.447789     -99.356796
 1100.000    -613.407105    -613.353792    -613.586274     132.622527     132.623000      40.356165      33.454441    -112.430339
 1200.000    -613.407105    -613.347321    -613.607694     136.155551     136.155000      40.835165      37.515058    -125.871603
 1300.000    -613.407105    -613.340782    -613.629657     139.439962     139.440000      41.222165      41.618346    -139.653606
 1400.000    -613.407105    -613.334187    -613.652125     142.506625     142.507000      41.537165      45.756774    -153.752500
 1500.000    -613.407105    -613.327546    -613.675066     145.381517     145.382000      41.798165      49.924068    -168.148207
 1600.000    -613.407105    -613.320867    -613.698452     148.086477     148.086000      42.016165      54.115207    -182.823156
 1700.000    -613.407105    -613.314156    -613.722256     150.639312     150.639000      42.199165      58.326427    -197.760404
 1800.000    -613.407105    -613.307419    -613.746456     153.055615     153.056000      42.354165      62.553962    -212.946146
 1900.000    -613.407105    -613.300658    -613.771032     155.349678     155.349000      42.488165      66.796557    -228.367832
 2000.000    -613.407105    -613.293878    -613.795964     157.531993     157.532000      42.603165      71.051075    -244.012911
