    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1902.254054   -1902.254042   -1902.254095      33.258030      33.395000       7.949165       0.007530      -0.025728
  100.000   -1902.254054   -1902.250367   -1902.266116      98.826550      98.824000      37.660165       2.313629      -7.569026
  200.000   -1902.254054   -1902.242292   -1902.284670     132.963094     132.964000      62.269165       7.380773     -19.211846
  300.000   -1902.254054   -1902.230889   -1902.308211     161.734427     161.734000      79.996165      14.536269     -33.984059
  400.000   -1902.254054   -1902.217013   -1902.336017     186.690500     186.690000      93.545165      23.243598     -51.432602
  500.000   -1902.254054   -1902.201250   -1902.367558     208.719866     208.720000     103.792165      33.135038     -71.224895
  600.000   -1902.254054   -1902.184073   -1902.402413     228.350889     228.350000     111.389165      43.913777     -93.096756
  700.000   -1902.254054   -1902.165853   -1902.440231     245.964198     245.964000     117.005165      55.347010    -116.827929
  800.000   -1902.254054   -1902.146857   -1902.480716     261.874826     261.875000     121.192165      67.267189    -142.232672
  900.000   -1902.254054   -1902.127280   -1902.523619     276.340762     276.340000     124.358165      79.551953    -169.154733
 1000.000   -1902.254054   -1902.107260   -1902.568726     289.574530     289.574000     126.790165      92.114703    -197.459827
 1100.000   -1902.254054   -1902.086898   -1902.615856     301.751304     301.751000     128.689165     104.892062    -227.034373
 1200.000   -1902.254054   -1902.066265   -1902.664852     313.016107     313.016000     130.194165     117.839475    -257.779853
 1300.000   -1902.254054   -1902.045418   -1902.715578     323.486232     323.486000     131.403165     130.921176    -289.610925
 1400.000   -1902.254054   -1902.024396   -1902.767917     333.262045     333.261000     132.388165     144.112692    -322.454171
 1500.000   -1902.254054   -1902.003232   -1902.821763     342.424259     342.424000     133.198165     157.393313    -356.243075
 1600.000   -1902.254054   -1901.981951   -1902.877025     351.042429     351.042000     133.873165     170.747354    -390.920532
 1700.000   -1902.254054   -1901.960570   -1902.933622     359.176389     359.176000     134.441165     184.164145    -426.435716
 1800.000   -1902.254054   -1901.939106   -1902.991479     366.874767     366.874000     134.922165     197.633019    -462.741562
 1900.000   -1902.254054   -1901.917571   -1903.050531     374.180910     374.181000     135.333165     211.146447    -499.797282
 2000.000   -1902.254054   -1901.895976   -1903.110719     381.131690     381.131000     135.687165     224.697526    -537.565854
