    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -713.324809    -713.324797    -713.324836      24.472890      24.635000       7.949165       0.007530      -0.016943
  100.000    -713.324809    -713.323041    -713.333675      66.729413      66.733000      14.864165       1.109438      -5.563504
  200.000    -713.324809    -713.320049    -713.345368      79.439628      79.442000      22.500165       2.986948     -12.900978
  300.000    -713.324809    -713.315955    -713.358874      89.773672      89.775000      28.611165       5.555974     -21.376128
  400.000    -713.324809    -713.311005    -713.373906      98.677516      98.678000      33.299165       8.662148     -30.808858
  500.000    -713.324809    -713.305402    -713.390268     106.508527     106.509000      36.852165      12.178087     -41.076177
  600.000    -713.324809    -713.299307    -713.407807     113.474725     113.475000      39.512165      16.002760     -52.082075
  700.000    -713.324809    -713.292844    -713.426397     119.722633     119.722000      41.504165      20.058357     -63.747486
  800.000    -713.324809    -713.286104    -713.445933     125.367870     125.367000      43.008165      24.287775     -76.006521
  900.000    -713.324809    -713.279155    -713.466327     130.502557     130.502000      44.157165      28.648342     -88.803960
 1000.000    -713.324809    -713.272044    -713.487503     135.202677     135.203000      45.048165      33.110565    -102.092112
 1100.000    -713.324809    -713.264808    -713.509399     139.530271     139.530000      45.748165      37.651228    -115.832071
 1200.000    -713.324809    -713.257471    -713.531957     143.535592     143.536000      46.306165      42.255268    -129.987441
 1300.000    -713.324809    -713.250054    -713.555132     147.261151     147.261000      46.757165      46.909510    -144.529986
 1400.000    -713.324809    -713.242573    -713.578879     150.739556     150.740000      47.126165      51.603912    -159.431466
 1500.000    -713.324809    -713.235038    -713.603164     154.001831     154.002000      47.431165      56.332200    -174.670546
 1600.000    -713.324809    -713.227458    -713.627953     157.071636     157.071000      47.685165      61.088726    -190.225891
 1700.000    -713.324809    -713.219841    -713.653216     159.968910     159.969000      47.900165      65.868470    -206.078677
 1800.000    -713.324809    -713.212193    -713.678930     162.712297     162.712000      48.082165      70.667666    -222.214469
 1900.000    -713.324809    -713.204518    -713.705069     165.316188     165.316000      48.238165      75.483805    -238.616953
 2000.000    -713.324809    -713.196820    -713.731612     167.793664     167.794000      48.372165      80.314377    -255.272951
