    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1051.593113   -1051.593100   -1051.593144      27.610440      27.638000       7.949204       0.008158      -0.019453
  100.000   -1051.593113   -1051.590899   -1051.602789      74.610939      74.611000      20.792204       1.389307      -6.071787
  200.000   -1051.593113   -1051.586537   -1051.616204      93.081696      93.083000      33.363204       4.126506     -14.489833
  300.000   -1051.593113   -1051.580427   -1051.632298     108.498571     108.498000      42.954204       7.960592     -24.588979
  400.000   -1051.593113   -1051.572945   -1051.650682     121.951862     121.952000      50.654204      12.655622     -36.125123
  500.000   -1051.593113   -1051.564373   -1051.671088     133.929459     133.929000      56.651204      18.034637     -48.930092
  600.000   -1051.593113   -1051.554967   -1051.693303     144.678706     144.678000      61.179204      23.936996     -62.870227
  700.000   -1051.593113   -1051.544934   -1051.717144     154.376424     154.377000      64.581204      30.232804     -77.830693
  800.000   -1051.593113   -1051.534427   -1051.742458     163.176916     163.176000      67.162204      36.826052     -93.715481
  900.000   -1051.593113   -1051.523559   -1051.769111     171.207039     171.207000      69.152204      43.645831    -110.440505
 1000.000   -1051.593113   -1051.512410   -1051.796990     178.576796     178.577000      70.712204      50.641940    -127.934856
 1100.000   -1051.593113   -1051.501039   -1051.825997     185.376722     185.377000      71.954204      57.777356    -146.137039
 1200.000   -1051.593113   -1051.489489   -1051.856047     191.682342     191.682000      72.958204      65.025096    -164.993714
 1300.000   -1051.593113   -1051.477795   -1051.887067     197.555594     197.555000      73.779204      72.363198    -184.459075
 1400.000   -1051.593113   -1051.465982   -1051.918991     203.048341     203.049000      74.459204      79.775974    -204.491704
 1500.000   -1051.593113   -1051.454069   -1051.951764     208.205726     208.206000      75.027204      87.251500    -225.057089
 1600.000   -1051.593113   -1051.442074   -1051.985335     213.063569     213.064000      75.507204      94.778483    -246.123227
 1700.000   -1051.593113   -1051.430007   -1052.019658     217.654058     217.654000      75.915204     102.350646    -267.661253
 1800.000   -1051.593113   -1051.417881   -1052.054693     222.003277     222.003000      76.265204     109.959832    -289.646066
 1900.000   -1051.593113   -1051.405703   -1052.090403     226.134788     226.135000      76.567204     117.601649    -312.054448
 2000.000   -1051.593113   -1051.393480   -1052.126756     230.069011     230.069000      76.829204     125.271704    -334.866319
