    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -2240.519838   -2240.519825   -2240.519881      35.140560      34.814000       7.949204       0.008158      -0.026983
  100.000   -2240.519838   -2240.515707   -2240.532356     104.474140     104.474000      43.675204       2.592244      -7.855170
  200.000   -2240.519838   -2240.506262   -2240.552279     144.380638     144.381000      73.092204       8.519076     -20.357052
  300.000   -2240.519838   -2240.492846   -2240.578052     178.225390     178.224000      94.343204      16.937750     -36.529867
  400.000   -2240.519838   -2240.476434   -2240.608854     207.737185     207.737000     110.939204      27.236444     -55.858430
  500.000   -2240.519838   -2240.457695   -2240.644086     233.924433     233.924000     123.641204      38.995354     -77.966862
  600.000   -2240.519838   -2240.437200   -2240.683264     257.346034     257.346000     133.105204      51.856171    -102.551449
  700.000   -2240.519838   -2240.415401   -2240.725982     278.418119     278.418000     140.125204      65.535262    -129.357421
  800.000   -2240.519838   -2240.392632   -2240.771895     297.489156     297.489000     145.384204      79.823037    -158.168288
  900.000   -2240.519838   -2240.369131   -2240.820707     314.853840     314.854000     149.385204      94.570150    -188.798306
 1000.000   -2240.519838   -2240.345068   -2240.872168     330.760521     330.760000     152.482204     109.669923    -221.090598
 1100.000   -2240.519838   -2240.320567   -2240.926061     345.412309     345.412000     154.919204     125.044545    -254.908995
 1200.000   -2240.519838   -2240.295718   -2240.982200     358.978600     358.978000     156.866204     140.637541    -290.136779
 1300.000   -2240.519838   -2240.270590   -2241.040424     371.598872     371.599000     158.443204     156.405612    -326.672921
 1400.000   -2240.519838   -2240.245234   -2241.100592     383.389785     383.390000     159.737204     172.316756    -364.428943
 1500.000   -2240.519838   -2240.219690   -2241.162579     394.448184     394.448000     160.809204     188.345871    -403.326405
 1600.000   -2240.519838   -2240.193990   -2241.226276     404.856117     404.856000     161.708204     204.472878    -443.296909
 1700.000   -2240.519838   -2240.168158   -2241.291584     414.682970     414.683000     162.468204     220.682717    -484.278332
 1800.000   -2240.519838   -2240.142214   -2241.358416     423.988287     423.988000     163.115204     236.962836    -526.216081
 1900.000   -2240.519838   -2240.116174   -2241.426693     432.823041     432.823000     163.672204     253.303197    -569.060581
 2000.000   -2240.519838   -2240.090052   -2241.496343     441.230833     441.230000     164.153204     269.695013    -612.766653
