    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -2716.090703   -2716.090690   -2716.090749      37.023090      36.691000       7.949204       0.008158      -0.028865
  100.000   -2716.090703   -2716.085754   -2716.104365     116.785886     116.785000      53.060204       3.105547      -8.573042
  200.000   -2716.090703   -2716.074250   -2716.126960     165.380260     165.383000      89.091204      10.324422     -22.751630
  300.000   -2716.090703   -2716.057899   -2716.156685     206.630676     206.630000     114.954204      20.584838     -41.404365
  400.000   -2716.090703   -2716.037909   -2716.192538     242.578109     242.578000     135.084204      33.128763     -63.902481
  500.000   -2716.090703   -2716.015099   -2716.233784     274.454049     274.454000     150.456204      47.442266     -89.784758
  600.000   -2716.090703   -2715.990165   -2716.279833     302.949278     302.948000     161.887204      63.088600    -118.680966
  700.000   -2716.090703   -2715.963659   -2716.330187     328.571408     328.571000     170.351204      79.721380    -150.278605
  800.000   -2716.090703   -2715.935984   -2716.384425     351.751515     351.751000     176.678204      97.087720    -184.313492
  900.000   -2716.090703   -2715.907429   -2716.442187     372.851103     372.851000     181.483204     115.006268    -220.559725
 1000.000   -2716.090703   -2715.878200   -2716.503166     392.172415     392.172000     185.194204     133.347758    -258.824657
 1100.000   -2716.090703   -2715.848446   -2716.567099     409.965404     409.965000     188.107204     152.018690    -298.943254
 1200.000   -2716.090703   -2715.818277   -2716.633760     426.436448     426.436000     190.431204     170.950039    -340.773698
 1300.000   -2716.090703   -2715.787775   -2716.702952     441.755938     441.755000     192.310204     190.090349    -384.192370
 1400.000   -2716.090703   -2715.757002   -2716.774503     456.065752     456.065000     193.849204     209.400715    -429.091338
 1500.000   -2716.090703   -2715.726006   -2716.848262     469.484575     469.484000     195.123204     228.851014    -475.375848
 1600.000   -2716.090703   -2715.694824   -2716.924095     482.112403     482.112000     196.189204     248.418031    -522.961814
 1700.000   -2716.090703   -2715.663485   -2717.001883     494.034194     494.034000     197.089204     268.083567    -571.774562
 1800.000   -2716.090703   -2715.632014   -2717.081520     505.321950     505.322000     197.856204     287.831934    -621.747576
 1900.000   -2716.090703   -2715.600430   -2717.162909     516.037472     516.037000     198.514204     307.651210    -672.819987
 2000.000   -2716.090703   -2715.568748   -2717.245964     526.234906     526.234000     199.083204     327.531982    -724.937830
