    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1051.591279   -1051.591267   -1051.591311      27.610440      27.639000       7.949204       0.007530      -0.020080
  100.000   -1051.591279   -1051.589068   -1051.600956      74.598389      74.597000      20.775204       1.387425      -6.072414
  200.000   -1051.591279   -1051.584708   -1051.614368      93.059733      93.059000      33.347204       4.123368     -14.488578
  300.000   -1051.591279   -1051.578600   -1051.630456     108.467195     108.467000      42.936204       7.956199     -24.583959
  400.000   -1051.591279   -1051.571122   -1051.648835     121.914212     121.915000      50.634204      12.648719     -36.116966
  500.000   -1051.591279   -1051.562553   -1051.669235     133.888044     133.888000      56.631204      18.025852     -48.918170
  600.000   -1051.591279   -1051.553150   -1051.691443     144.633734     144.633000      61.161204      23.926329     -62.853912
  700.000   -1051.591279   -1051.543120   -1051.715277     154.328913     154.329000      64.566204      30.220254     -77.809985
  800.000   -1051.591279   -1051.532615   -1051.740583     163.127500     163.127000      67.150204      36.812247     -93.689753
  900.000   -1051.591279   -1051.521749   -1051.767228     171.156141     171.156000      69.143204      43.630770    -110.409757
 1000.000   -1051.591279   -1051.510601   -1051.795099     178.525340     178.525000      70.705204      50.626252    -127.899088
 1100.000   -1051.591279   -1051.499230   -1051.824097     185.324810     185.325000      71.950204      57.761668    -146.095623
 1200.000   -1051.591279   -1051.487681   -1051.854139     191.630050     191.630000      72.955204      65.008781    -164.947279
 1300.000   -1051.591279   -1051.475988   -1051.885150     197.502497     197.503000      73.777204      72.346255    -184.406991
 1400.000   -1051.591279   -1051.464175   -1051.917067     202.995899     202.996000      74.458204      79.759031    -204.435228
 1500.000   -1051.591279   -1051.452262   -1051.949832     208.153434     208.153000      75.027204      87.234558    -224.995593
 1600.000   -1051.591279   -1051.440267   -1051.983394     213.011015     213.011000      75.507204      94.761540    -246.056084
 1700.000   -1051.591279   -1051.428200   -1052.017708     217.601274     217.601000      75.915204     102.333703    -267.588462
 1800.000   -1051.591279   -1051.416074   -1052.052735     221.950636     221.950000      76.265204     109.942890    -289.568255
 1900.000   -1051.591279   -1051.403896   -1052.088437     226.082275     226.082000      76.567204     117.584706    -311.971617
 2000.000   -1051.591279   -1051.391672   -1052.124781     230.016614     230.016000      76.830204     125.255389    -334.777840
