    T         Zero_Point      Enthalpy     Free_Energy        Full_S         GS         Free_Grimme     H0+Full_S         H-H0            SqH
    1.000   -1953.498094   -1953.498082   -1953.498135       0.053000       0.053000   -1953.498147   -1953.498147       0.000012       0.000000
  100.000   -1953.498094   -1953.494284   -1953.510159       0.158750       0.146473   -1953.512741   -1953.513969       0.003810       0.021390
  200.000   -1953.498094   -1953.485826   -1953.528969       0.215715       0.199477   -1953.537989   -1953.541237       0.012268       0.046334
  300.000   -1953.498094   -1953.473813   -1953.553015       0.264007       0.238322   -1953.569591   -1953.577296       0.024281       0.069894
  400.000   -1953.498094   -1953.459119   -1953.581565       0.306115       0.272469   -1953.607082   -1953.620540       0.038975       0.091858
  500.000   -1953.498094   -1953.442366   -1953.614078       0.343424       0.305754   -1953.650971   -1953.669806       0.055728       0.112321
  600.000   -1953.498094   -1953.424068   -1953.650118       0.376750       0.338571   -1953.701237   -1953.724144       0.074026       0.131415
  700.000   -1953.498094   -1953.404626   -1953.689316       0.406700       0.370373   -1953.757355   -1953.782784       0.093468       0.149263
  800.000   -1953.498094   -1953.384330   -1953.731362       0.433790       0.400609   -1953.818581   -1953.845126       0.113764       0.165983
  900.000   -1953.498094   -1953.363390   -1953.775993       0.458448       0.429010   -1953.884203   -1953.910697       0.134704       0.181681
 1000.000   -1953.498094   -1953.341954   -1953.822983       0.481029       0.455544   -1953.953638   -1953.979123       0.156140       0.196458
 1100.000   -1953.498094   -1953.320130   -1953.872139       0.501826       0.480305   -1954.026430   -1954.050103       0.177964       0.210403
 1200.000   -1953.498094   -1953.297995   -1953.923297       0.521085       0.503446   -1954.102229   -1954.123396       0.200099       0.223595
 1300.000   -1953.498094   -1953.275611   -1953.976311       0.539000       0.525131   -1954.180765   -1954.198794       0.222483       0.236105
 1400.000   -1953.498094   -1953.253021   -1954.031058       0.555741       0.545525   -1954.261829   -1954.276131       0.245073       0.247995
 1500.000   -1953.498094   -1953.230260   -1954.087425       0.571443       0.564764   -1954.345240   -1954.355259       0.267834       0.259319
 1600.000   -1953.498094   -1953.207356   -1954.145316       0.586225       0.582963   -1954.430836   -1954.436054       0.290738       0.270128
 1700.000   -1953.498094   -1953.184331   -1954.204642       0.600183       0.600215   -1954.518460   -1954.518405       0.313763       0.280463
 1800.000   -1953.498094   -1953.161203   -1954.265328       0.613403       0.616599   -1954.607972   -1954.602219       0.336891       0.290363
 1900.000   -1953.498094   -1953.137985   -1954.327301       0.625956       0.632182   -1954.699241   -1954.687410       0.360109       0.299861
 2000.000   -1953.498094   -1953.114690   -1954.390498       0.637904       0.647030   -1954.792153   -1954.773902       0.383404       0.308989
